label,p_value,fold_change,adjusted_p_value
IMPC_ACS_006_001,0.62949625527911,14.94996,1
IMPC_ACS_033_001,0.435520277747297,12.3067486,1
IMPC_ACS_034_001,0.0263501543275852,19.393905,0.339451988102421
IMPC_ACS_035_001,0.10033910326854,11.968028,0.757733228131388
IMPC_ACS_036_001,0.606630609316509,2.240285,1
IMPC_ACS_037_001,0.13291496377902,11.477245,0.850400279281981
IMPC_OFD_007_001,0.908063533379543,3.63805263157894,1
IMPC_OFD_009_001,0.619635145999627,-0.192947368421052,1
IMPC_OFD_010_001,0.78038024792688,-72.3443947368427,1
IMPC_OFD_011_001,0.445960201433365,38.4860526315789,1
IMPC_OFD_012_001,0.434369737121205,43.1622763157895,1
IMPC_OFD_013_001,0.253819528365078,-0.280552631578947,1
IMPC_OFD_014_001,0.964306841602962,-20.3386052631578,1
IMPC_OFD_015_001,0.280386901576338,-34.848,1
IMPC_OFD_016_001,0.434405491517321,-43.1609210526316,1
IMPC_OFD_017_001,0.501926478423293,0.371499999999999,1
IMPC_OFD_018_001,0.0292710137601257,37.5322105263158,0.356130667414862
IMPC_OFD_019_001,0.800002643016157,1.48947368421052,1
IMPC_OFD_020_001,0.868240141344909,-92.6840526315795,1
IMPC_OFD_021_001,0.637430967123969,12.1342105263158,1
IMPC_OFD_022_001,0.434406581280405,-3.59673342105263,1
IMPC_HWT_008_001,8.74511474884228e-06,39.5,0.000273597161428066
IMPC_DXA_002_001,0.0078193757602239,1.12841812865497,0.131726407037618
IMPC_DXA_003_001,1.04012503295702e-09,4.59628947368421,7.59291274058624e-08
IMPC_DXA_004_001,0.0431840643125137,0.00121111111111111,0.450348099259071
IMPC_DXA_005_001,0.0122238141058975,0.0314538011695906,0.175149287378584
IMPC_DXA_006_001,4.26725828424053e-06,0.413450292397661,0.000186905912849735
IMPC_DXA_007_001,1.03312334043315e-05,-0.00246897105263158,0.000282817514443574
IMPC_DXA_008_001,0.271809778451944,0.013654880116959,1
IMPC_DXA_009_001,0.5722722783055,0.00694130701754386,1
IMPC_DXA_010_001,0.0127962949682984,0.388769912280702,0.175149287378584
IMPC_DXA_999_999,0.00861278176234852,5.49792105263158,0.134728514711023
IMPC_GRS_008_001,0.0892957415755392,6.11810263157896,0.712276167034049
IMPC_GRS_009_001,0.0775413831582634,12.0522947368421,0.653137035063834
IMPC_CBC_001_001,0.299926810705756,0.909473684210531,1
IMPC_CBC_002_001,0.13864627640302,0.174421052631579,0.850400279281981
