label,p_value,fold_change,adjusted_p_value
CPD037,0.198189034475417,,0.743437207663545
CPD047,0.79232764884835,,0.96849079522073
CPD079,0.675307771977088,,0.95538305142574
CPD589,0.681593845962578,,0.95538305142574
CPD590,0.0402690928224342,,0.475185076935526
CPD668,0.170338949373351,,0.703837080151816
CPD669,0.18613873749976,,0.72150920154669
CPD765,0.947181361521405,,0.989684061998516
CPD784,0.336634276024981,,0.852980039277236
CPD819,0.472264558843287,,0.927560333225448
CPD842,0.213659268972333,,0.75700955135567
CPD926,0.141876857878572,,0.690824503114821
CPD928,0.556412206439249,,0.953514812719049
CPD130,0.533868450863201,,0.948853032505743
CPD133,0.205733500751293,,0.748916630733746
CPD134,,,
CPD248,0.148720587856308,,0.690824503114821
CPD391,0.376872897118311,,0.870622453038624
CPD749,0.943612279107496,,0.989684061998516
CPD761,0.00481221601905513,,0.273097589598515
CPD762,0.456454076958015,,0.927560333225448
CPD825,0.475537446810118,,0.927560333225448
CPD852,0.144813846882165,,0.690824503114821
CPD001,0.233368687112366,,0.778533243071581
CPD002,0.952921541241687,,0.989684061998516
CPD003,0.98950214634691,,0.999870414351041
CPD004,0.473456119614481,,0.927560333225448
CPD005,0.95170388525634,,0.989684061998516
CPD006,0.00716098876491937,,0.289808797687828
CPD007,0.316030493254385,,0.835445700305418
CPD008,0.409612440191629,,0.896302490096736
CPD010,0.803296180048752,,0.96849079522073
CPD011,0.56500530466762,,0.95538305142574
CPD847,0.367009179698603,,0.870622453038624
CPD013,0.0564187860152267,,0.521873770640847
CPD014,0.44529822708379,,0.927453200346271
CPD015,0.566114285461311,,0.95538305142574
CPD016,0.813820060807952,,0.96849079522073
CPD017,0.591491322507691,,0.95538305142574
CPD018,0.286229170298828,,0.811549763584016
CPD838,0.921969159408915,,0.989684061998516
CPD019,0.386216087552913,,0.873277486855754
CPD020,0.132694386767196,,0.670732636541322
CPD834,0.106814644152439,,0.625518851367521
CPD022,0.895619598435902,,0.988125677269336
CPD023,0.448726415057395,,0.927453200346271
CPD024,0.713646484604404,,0.95538305142574
CPD025,0.292118035294984,,0.811549763584016
CPD026,0.746722496187233,,0.966346759771713
CPD027,0.584480943814476,,0.95538305142574
CPD028,0.0961954974480229,,0.621473928519192
CPD829,0.100211401721737,,0.621473928519192
CPD030,0.157480120544044,,0.703082835802494
CPD031,0.0743062135224286,,0.596729646288413
CPD032,0.428990556993448,,0.919488299169488
CPD033,0.768847752995252,,0.96849079522073
CPD035,0.125105866943353,,0.662177826985371
CPD036,0.081864165201419,,0.596729646288413
CPD039,0.180402138851561,,0.717985916661545
CPD040,0.493299386594645,,0.927560333225448
CPD041,0.923735710076591,,0.989684061998516
CPD812,0.181277564020095,,0.717985916661545
CPD044,0.704202867520154,,0.95538305142574
CPD046,0.551360545915499,,0.948853032505743
CPD048,0.40760268490231,,0.896302490096736
CPD049,0.475671896317505,,0.927560333225448
CPD050,0.26221202209959,,0.79798965324714
CPD051,0.990588256381979,,0.999870414351041
CPD052,0.641416918157179,,0.95538305142574
CPD053,0.933524687453391,,0.989684061998516
CPD054,0.585831074276855,,0.95538305142574
CPD056,0.909406055501749,,0.989684061998516
CPD057,0.427683805213384,,0.919488299169488
CPD058,0.815060272871774,,0.96849079522073
CPD059,0.557997689009893,,0.954222938769018
CPD060,0.164004265139261,,0.703837080151816
CPD061,0.603568104383341,,0.95538305142574
CPD062,0.668422547355207,,0.95538305142574
CPD063,0.714893590314197,,0.95538305142574
CPD064,0.832658171348336,,0.97076720792878
CPD065,0.000343061193462412,,0.0930839371594677
CPD066,0.248516711818456,,0.787764436102831
CPD067,0.841048278583553,,0.97076720792878
CPD068,0.81976677875563,,0.96849079522073
CPD069,0.0851191240131038,,0.596729646288413
CPD070,0.339670539814445,,0.856011824795536
CPD071,0.736331939586482,,0.966346759771713
CPD072,0.381778473142666,,0.870622453038624
CPD073,0.75673400746241,,0.96849079522073
CPD074,0.954281452225044,,0.989684061998516
CPD075,0.00357212106217532,,0.273097589598515
CPD076,0.473097891380183,,0.927560333225448
CPD077,0.847259031906357,,0.972734629015197
CPD078,0.322582769215232,,0.836249599175794
CPD080,0.468384692676369,,0.927560333225448
CPD081,0.748294278488004,,0.966843718554341
CPD082,0.997897738138972,,0.999870414351041
CPD083,0.492536228548548,,0.927560333225448
CPD086,0.280079524186147,,0.809820846971934
CPD087,0.861047646439785,,0.981398872871392
CPD088,0.993288305455842,,0.999870414351041
CPD089,0.249684551000652,,0.787764436102831
CPD090,0.817709376142054,,0.96849079522073
CPD092,0.346993677213773,,0.863770193431227
CPD093,0.668844650207133,,0.95538305142574
CPD094,0.77537245444417,,0.96849079522073
CPD095,0.775784856729551,,0.96849079522073
CPD096,0.320842155416719,,0.835544386373731
CPD097,0.702963978601449,,0.95538305142574
CPD098,0.127861043992165,,0.662177826985371
CPD099,0.619690753860495,,0.95538305142574
CPD100,0.907347707042336,,0.989684061998516
CPD101,0.836432838823419,,0.97076720792878
CPD102,0.205464555845943,,0.748916630733746
CPD103,0.979335107264729,,0.995229434848302
CPD105,0.0786092677669955,,0.596729646288413
CPD106,0.301546177088047,,0.823768593978321
CPD107,0.535472195044886,,0.948853032505743
CPD108,0.767218976770139,,0.96849079522073
CPD109,0.888919470776907,,0.988125677269336
CPD110,0.616287583142206,,0.95538305142574
CPD111,0.540698659014559,,0.948853032505743
