label,p_value,fold_change,adjusted_p_value
CPD037,0.474266349562187,,0.762276651054895
CPD047,0.264593952304079,,0.572934104722433
CPD079,0.0935455123302389,,0.358296962321481
CPD589,,,
CPD590,0.0406317779451577,,0.262166725407471
CPD668,0.159795465951691,,0.450534438724908
CPD669,0.272688419573819,,0.57964135260194
CPD765,0.881604625929593,,0.962181392815631
CPD784,0.180543909152162,,0.47752981834383
CPD819,0.316311550671661,,0.623410143556769
CPD842,0.348617400666876,,0.660550084530927
CPD926,0.05675618543724,,0.291847500947196
CPD928,0.728559363738306,,0.91332431969389
CPD130,0.368729999637865,,0.670535922310438
CPD133,0.814331464817348,,0.937925034654875
CPD134,,,
CPD248,0.220921574971127,,0.528802464477764
CPD391,0.459818292563751,,0.747301058323846
CPD749,0.915516409430997,,0.969280581586612
CPD761,0.250771374437881,,0.553332489248803
CPD762,0.85670330411759,,0.955843578428386
CPD825,0.0410781915256416,,0.262166725407471
CPD852,0.259205254103302,,0.566104121406179
CPD001,0.968730191268311,,0.994454041871548
CPD002,0.55961206539017,,0.805230247108284
CPD003,0.372227452831208,,0.670535922310438
CPD004,0.189277411396821,,0.487915104934027
CPD005,0.534944458737736,,0.794104022842854
CPD006,0.79805991747233,,0.93208746661539
CPD007,0.055299734587636,,0.28969925474297
CPD008,0.45107835629169,,0.739950758199702
CPD010,0.233563910695692,,0.544431680695844
CPD011,0.916561451744363,,0.969280581586612
CPD847,0.289159301487082,,0.598809778683389
CPD013,0.825252207875366,,0.940966828694128
CPD014,0.452816947741735,,0.741305164448164
CPD015,0.898964211429338,,0.969280581586612
CPD016,0.309732885178372,,0.613422201865458
CPD017,0.643166431900366,,0.873456995770589
CPD018,0.000897790681297445,,0.122532652708708
CPD838,0.00402609384355553,,0.153870147641172
CPD019,0.280072387992354,,0.589167821372516
CPD020,0.355550054992458,,0.663949686903412
CPD834,0.292633843453736,,0.598809778683389
CPD022,0.738315010699212,,0.91949660841681
CPD023,0.413983708889861,,0.710353797700837
CPD024,0.988976264964896,,0.994454041871548
CPD025,0.702367766456452,,0.904616205183336
CPD026,0.209372115792216,,0.514763649670461
CPD027,0.261482842830007,,0.569233427286772
CPD028,0.777367898010352,,0.931317707465004
CPD829,0.0729542480836385,,0.312407773610647
CPD030,0.366493550208273,,0.670253970200716
CPD031,0.915986385307364,,0.969280581586612
CPD032,0.0472207772120366,,0.271938092880665
CPD033,0.00355343645677136,,0.152950911112546
CPD035,0.740360421551859,,0.919947071326199
CPD036,0.505854169673827,,0.775006765613487
CPD039,0.414664655308124,,0.710353797700837
CPD040,0.32451746655996,,0.628561351831632
CPD041,0.259348193550614,,0.566104121406179
CPD812,0.0669811365621013,,0.307694138269105
CPD044,0.643467814166379,,0.873456995770589
CPD046,0.0572796755172742,,0.291847500947196
CPD048,0.0167079324713867,,0.215003964588896
CPD049,0.321512919961267,,0.627568488001319
CPD050,0.0359294267689009,,0.262166725407471
CPD051,0.0504468408150137,,0.277924330646239
CPD052,0.804686098186726,,0.93208746661539
CPD053,0.386103933484715,,0.681557378238237
CPD054,0.486953791238261,,0.766446612874046
CPD056,0.00208255430825783,,0.152950911112546
CPD057,0.163392747747753,,0.452293615785726
CPD058,0.0490006141424006,,0.276309018636315
CPD059,0.0318542018265323,,0.26118038440199
CPD060,0.0165297503437557,,0.215003964588896
