label,p_value,fold_change,adjusted_p_value
CPD037,0.783836726270654,,0.963649185841169
CPD047,0.125111398120935,,0.656517185020364
CPD079,0.341056085540953,,0.782987914692611
CPD589,,,
CPD590,0.0613082798466388,,0.583734984620156
CPD668,0.130792928227463,,0.656517185020364
CPD669,0.557578370348441,,0.915406508089829
CPD765,0.788115704172345,,0.963822839863302
CPD784,0.20777710170876,,0.725252917896093
CPD819,0.318733788726429,,0.773644975879819
CPD842,0.533103865229329,,0.909395988591573
CPD926,0.126812543547052,,0.656517185020364
CPD928,0.298441542609827,,0.764873764864809
CPD130,0.874883308447837,,0.987957547440755
CPD133,0.329521792820421,,0.777803786278777
CPD134,0.344580217334716,,0.787535676688743
CPD248,0.0608733798183316,,0.583734984620156
CPD391,0.296423652382894,,0.764873764864809
CPD749,0.925728323065801,,0.987957547440755
CPD761,0.0421165013768218,,0.512749920341638
CPD762,0.348517960975486,,0.788437854513039
CPD825,0.41999802849093,,0.845181217827426
CPD852,0.340731145050774,,0.782987914692611
CPD001,0.650197566164715,,0.946112074293068
CPD002,0.0121005777122586,,0.463208074562115
CPD003,0.937644640130664,,0.987957547440755
CPD004,0.0647860430962782,,0.593265450825469
CPD005,0.715624774919848,,0.946112074293068
CPD006,0.235037942520008,,0.725252917896093
CPD007,0.77799890065943,,0.962246829831629
CPD008,0.852096764832808,,0.982261475726645
CPD010,0.559352688378816,,0.915406508089829
CPD011,0.802143285252952,,0.968026525969788
CPD847,0.236389810659171,,0.725252917896093
CPD013,0.812047697758796,,0.973264309601777
CPD014,0.198689777088602,,0.719698525898713
CPD015,0.830561013927484,,0.975370643156916
CPD016,0.475533271513937,,0.864451968018155
CPD017,0.688405428717417,,0.946112074293068
CPD018,0.660609324629683,,0.946112074293068
CPD838,0.642617381730107,,0.946112074293068
CPD019,0.408457789259865,,0.840639136986844
CPD020,0.879270253393607,,0.987957547440755
CPD834,0.586042288237103,,0.919219584503145
CPD022,0.737804268539427,,0.946112074293068
CPD023,0.946886487505078,,0.987957547440755
CPD024,0.76363992473208,,0.955229420257867
CPD025,0.821329504144849,,0.973264309601777
CPD026,0.963909763191995,,0.988389637050749
CPD027,0.456112102795703,,0.85684731628971
CPD028,0.73831568006183,,0.946112074293068
CPD829,0.356077650158146,,0.793404481454284
CPD030,0.121000837999756,,0.656517185020364
CPD031,0.653380576521194,,0.946112074293068
CPD032,0.635886440003616,,0.946112074293068
CPD033,0.960818121610877,,0.987957547440755
CPD035,0.130035776526878,,0.656517185020364
CPD036,0.225466381161825,,0.725252917896093
CPD039,0.956605164154063,,0.987957547440755
CPD040,0.235240121228366,,0.725252917896093
CPD041,0.983060808707345,,0.992806145100974
CPD812,0.379710061741443,,0.811389676127893
CPD044,0.711947747889325,,0.946112074293068
CPD046,0.549439823537497,,0.915406508089829
CPD048,0.936471598418249,,0.987957547440755
CPD049,0.101074576424161,,0.649926363992952
CPD050,0.229554774514594,,0.725252917896093
CPD051,0.318950566743091,,0.773644975879819
CPD052,0.00833416911932896,,0.424521739515819
CPD053,0.577268327924421,,0.919219584503145
CPD054,0.298195386698862,,0.764873764864809
CPD056,0.923874656539995,,0.987957547440755
