label,p_value,fold_change,adjusted_p_value
CPD037,0.293661780635761,,0.760378989612334
CPD047,0.0511666312238724,,0.493081888747454
CPD079,0.707539266848326,,0.914514187516198
CPD589,,,
CPD590,0.55966884180033,,0.853591121815007
CPD668,0.349576951007072,,0.779325488133632
CPD669,0.406533362431594,,0.8231054025908
CPD765,0.424540641131935,,0.8231054025908
CPD784,0.494496301080337,,0.849693277653196
CPD819,0.311907105460912,,0.770761327476357
CPD842,0.267119578735981,,0.748855922456389
CPD926,0.392761346312305,,0.816129675377326
CPD928,0.257316299387075,,0.738682501094373
CPD130,0.467736281399649,,0.83007599372492
CPD133,0.674687387324821,,0.899523867541349
CPD134,0.481336746979639,,0.836168323278732
CPD248,0.684127777383658,,0.899523867541349
CPD391,0.00923902166503394,,0.290946203601986
CPD749,0.689303037488635,,0.899523867541349
CPD761,0.134883074606502,,0.598984380643811
CPD762,0.128461072133005,,0.589931703472418
CPD825,0.0337959761830197,,0.458003177226875
CPD852,0.146742719775625,,0.602534500896886
CPD001,0.14169077326929,,0.602534500896886
CPD002,0.964268397338568,,0.98610088935378
CPD003,0.782958846930219,,0.947240390705756
CPD004,0.588307997064428,,0.861640673426949
CPD005,0.646915694643829,,0.889919559636942
CPD006,0.846203718049532,,0.962579465504709
CPD007,0.879532548713458,,0.962579465504709
CPD008,0.981229686389846,,0.992213600789733
CPD010,0.237532616436704,,0.715237100603854
CPD011,0.723813531939102,,0.920908296504679
CPD847,0.632323749890131,,0.877268274164977
CPD013,0.82370173342745,,0.962579465504709
CPD014,0.567000182904742,,0.855152864143116
CPD015,0.94749149206378,,0.985716991851167
CPD016,0.747645888166223,,0.934188438075786
CPD017,0.310574261686632,,0.769980261271327
CPD018,0.0112449673769807,,0.29654006255784
CPD838,0.00686444823984202,,0.277444587781
CPD019,0.233132568978271,,0.711860619588764
CPD020,0.0266489398567858,,0.424019797561945
CPD834,0.419689933656882,,0.8231054025908
CPD022,0.778466774264238,,0.945997177153842
CPD023,0.73472596486985,,0.927496304212047
CPD024,0.419059451112567,,0.8231054025908
CPD025,0.803081913007452,,0.959229484363033
CPD026,0.0202511719003498,,0.365871172332986
CPD027,0.886025760685057,,0.964149650806554
CPD028,0.575762854326896,,0.857317217157082
CPD829,0.293261916392009,,0.760378989612334
CPD030,0.853956146210784,,0.962579465504709
CPD031,0.00496158408595651,,0.277444587781
CPD032,0.874797628033059,,0.962579465504709
CPD033,0.146422562537576,,0.602534500896886
CPD035,0.686756477492781,,0.899523867541349
CPD036,0.842623547011278,,0.962579465504709
CPD039,0.368334774705735,,0.796511407537929
CPD040,0.442878332559782,,0.8231054025908
CPD041,0.963726157049816,,0.98610088935378
CPD812,0.166929244573786,,0.6420316266874
CPD044,0.755162568344874,,0.934188438075786
CPD046,0.278026727698181,,0.760378989612334
CPD048,0.244404953306792,,0.723739963343825
CPD049,0.194281771133319,,0.680823620393915
CPD050,0.258365334309151,,0.738682501094373
CPD051,0.702710122384086,,0.911169584526733
CPD052,0.429221308078719,,0.8231054025908
CPD053,0.880871011777419,,0.962579465504709
CPD054,0.521925763833901,,0.853591121815007
CPD056,0.180948490604131,,0.651026579623906
CPD057,0.488063851455304,,0.84066930346009
CPD058,0.73697738317464,,0.927496304212047
CPD059,0.476644306256299,,0.834172817451404
CPD060,0.906581162127238,,0.973321590770462
CPD061,0.480506010559322,,0.836168323278732
CPD062,0.677440755985162,,0.899523867541349
CPD063,0.433548207989534,,0.8231054025908
CPD064,0.750420790700211,,0.934188438075786
CPD065,0.129886562019142,,0.589931703472418
CPD066,0.399899871227205,,0.8231054025908
CPD067,0.665225597592614,,0.899523867541349
CPD068,0.231656242194273,,0.711860619588764
CPD069,0.289998040170887,,0.760378989612334
CPD070,0.571660813694481,,0.855912047023229
CPD071,0.0692980674661332,,0.548003884876396
CPD072,0.0192207583247273,,0.365871172332986
CPD073,0.719010869781525,,0.918280060162711
CPD074,0.861394463330367,,0.962579465504709
CPD075,0.0870911214021371,,0.564836589696535
CPD076,0.259880386256421,,0.738750888204442
CPD077,0.176360560220975,,0.645956582143687
CPD078,0.923818550276943,,0.977948543457233
CPD080,0.231626473468275,,0.711860619588764
CPD081,0.620324149283231,,0.871340285693994
CPD082,0.00184538959936105,,0.201989595864117
CPD083,0.536020748095272,,0.853591121815007
CPD086,0.0527652205670707,,0.493081888747454
CPD087,0.610407972374144,,0.867293587425147
CPD088,0.482446417037965,,0.836309034225726
CPD089,0.0983867646394166,,0.56956809206274
CPD090,0.943833520870082,,0.985716991851167
CPD092,0.2849437835059,,0.760378989612334
CPD093,0.687435310049298,,0.899523867541349
CPD094,0.755433776239828,,0.934188438075786
CPD095,0.670440625513104,,0.899523867541349
CPD096,0.840649236853548,,0.962579465504709
CPD097,0.712512473290311,,0.918023202511922
CPD098,0.63060630738107,,0.8766363678959
CPD099,0.515180128966388,,0.853591121815007
CPD100,0.367777134015258,,0.796511407537929
CPD101,0.0825398152885079,,0.564836589696535
CPD102,0.211340819122168,,0.698455633928141
CPD103,0.546757620606104,,0.853591121815007
CPD105,0.69724288879627,,0.905524710209853
CPD106,0.552625664057004,,0.853591121815007
CPD107,0.478135956866364,,0.834172817451404
CPD108,0.450431185349555,,0.827954407679514
CPD109,0.752281545316614,,0.934188438075786
CPD110,0.553022836950221,,0.853591121815007
CPD111,0.133591650970912,,0.596758309007425
CPD112,0.283915326076603,,0.760378989612334
CPD115,0.754117653137842,,0.934188438075786
CPD116,0.553301647258955,,0.853591121815007
CPD117,0.959043223313989,,0.985716991851167
CPD118,0.586819589472258,,0.861640673426949
CPD119,0.9785312620525,,0.992213600789733
CPD120,0.418141789839632,,0.8231054025908
CPD121,0.20948607192424,,0.69572421373459
CPD122,0.434886384894463,,0.8231054025908
CPD123,0.0851788473420677,,0.564836589696535
CPD124,0.922125385260988,,0.977948543457233
CPD125,0.715239830901063,,0.918280060162711
CPD126,0.956305937400939,,0.985716991851167
CPD127,0.418900714026274,,0.8231054025908
CPD128,0.923472158416537,,0.977948543457233
CPD129,0.857651111338605,,0.962579465504709
CPD132,0.198567004607929,,0.684046503162061
CPD135,0.95465703665918,,0.985716991851167
CPD136,0.86536083697531,,0.962579465504709
CPD817,0.873549494993986,,0.962579465504709
CPD138,0.561888136047721,,0.853591121815007
CPD139,0.790479269972104,,0.95067995042503
CPD140,0.331957179224052,,0.774055317245886
CPD141,0.620548616748859,,0.871340285693994
CPD142,,,
