label,p_value,fold_change,adjusted_p_value
CPD037,0.663175353451317,,0.933581592744409
CPD047,0.858156531592028,,0.978051438764659
CPD079,0.0162534614666122,,0.394623055359778
CPD589,0.68690091397944,,0.933581592744409
CPD590,0.977635650365871,,0.99599918118374
CPD668,0.701228270644875,,0.934702488602507
CPD669,0.941211719445734,,0.99599918118374
CPD765,0.00568343333836953,,0.339180395452042
CPD784,0.534994409415055,,0.910575754294202
CPD819,0.280653637325747,,0.840090912021573
CPD842,0.0482787353578329,,0.660115861116214
CPD926,,,
CPD928,,,
CPD130,0.196510196327559,,0.838215133553672
CPD133,0.45843386625674,,0.893908664556298
CPD134,0.279136778417362,,0.840090912021573
CPD248,0.798497017397171,,0.964187666352778
CPD391,0.40419531034839,,0.893908664556298
CPD749,0.988790997495636,,0.997102445679304
CPD761,0.273488312390058,,0.840090912021573
CPD762,0.710700867005043,,0.936196663026109
CPD825,0.231010374393997,,0.838215133553672
CPD852,0.195997170145483,,0.838215133553672
CPD001,0.98609227867403,,0.997102445679304
CPD002,0.461188879803446,,0.893908664556298
CPD003,0.152559737787092,,0.838215133553672
CPD004,0.376099993644728,,0.881538779859863
CPD005,0.28198957691678,,0.840090912021573
CPD006,0.716197650076319,,0.937274738202771
CPD007,0.0965861401859651,,0.838215133553672
CPD008,0.190341078288013,,0.838215133553672
CPD010,0.245623395300425,,0.838215133553672
CPD011,0.163832493099465,,0.838215133553672
CPD847,0.754283039965938,,0.951916890747711
CPD013,0.222581879499454,,0.838215133553672
CPD014,0.471054424513077,,0.895061620476828
CPD015,0.877391581005934,,0.982760032390654
CPD016,0.351958799266105,,0.86572256331988
CPD017,2.25999925369778e-05,,0.0183963939250999
CPD018,0.861441664144208,,0.978051438764659
CPD838,0.113147615864352,,0.838215133553672
CPD019,0.625185598884211,,0.930295878050679
CPD020,0.994934031023671,,0.997384607454764
CPD834,0.045287039870105,,0.660115861116214
CPD022,0.688877729146124,,0.933581592744409
CPD023,0.578793507647847,,0.926710179095094
