label,p_value,fold_change,adjusted_p_value
CPD037,0.00950236272332316,,0.221812295570143
CPD047,0.687202944120681,,0.927894743635221
CPD079,0.385414933680482,,0.853629022423279
CPD589,0.937197037807643,,0.983669033849379
CPD590,0.969760382622412,,0.993746866304523
CPD668,0.395033293081669,,0.860397199433254
CPD669,0.372093216288765,,0.840423750059291
CPD765,0.105762690296492,,0.583838634947525
CPD784,0.748109673679267,,0.952625442720188
CPD819,0.994366614727766,,0.999888067105329
CPD842,0.146433511662357,,0.652413247282445
CPD926,0.032602242494167,,0.338203955622112
CPD928,0.223168282207663,,0.74635723882346
CPD130,0.0264784415392646,,0.332813642116602
CPD133,0.857006667525395,,0.971154408465267
CPD134,0.286012240450976,,0.7839475506774
CPD248,0.174074545171186,,0.691608086866402
CPD391,0.0122544021544192,,0.221858731710792
CPD749,0.144922322190883,,0.650557896867863
CPD761,0.286234332883986,,0.7839475506774
CPD762,0.627379076056951,,0.923241336177006
CPD825,0.795305791214477,,0.968313236790388
CPD852,0.427622572082,,0.874102069524365
CPD001,0.030126247267795,,0.338203955622112
CPD002,0.27662172041892,,0.7839475506774
CPD003,0.872775918873962,,0.971154408465267
CPD004,0.0734577047846595,,0.504327267303082
CPD005,0.134448096900709,,0.626211241666752
CPD006,0.541858345338212,,0.918461137222654
CPD007,0.869879537597647,,0.971154408465267
CPD008,0.124771494483219,,0.620377580533569
CPD010,0.920269932939464,,0.973912610377645
CPD011,0.701246885730322,,0.930062833833885
CPD847,0.0451456619578169,,0.388252692837225
CPD013,0.00888744156743871,,0.215271460083824
CPD014,0.183243698047532,,0.699579912639411
CPD015,0.906139944123852,,0.971154408465267
CPD016,0.372871432992947,,0.840423750059291
CPD017,0.00269473855720923,,0.115873757959997
CPD018,0.660605591181367,,0.923241336177006
CPD838,0.442935442818956,,0.874102069524365
CPD019,0.80594002572517,,0.968313236790388
CPD020,0.0393800213533416,,0.36981008558253
CPD834,0.932516511847169,,0.981786069818476
CPD022,0.176471222062314,,0.691608086866402
CPD023,0.657922789447105,,0.923241336177006
CPD024,0.46816538445234,,0.893438243196978
CPD025,0.558296333852292,,0.923241336177006
CPD026,0.838233212443262,,0.971154408465267
CPD027,0.63271677062873,,0.923241336177006
CPD028,0.62688491863255,,0.923241336177006
CPD829,0.46482513408572,,0.890419203513913
CPD030,0.496574330311764,,0.905491714804779
CPD031,0.26546477237485,,0.7839475506774
CPD032,0.597330741396745,,0.923241336177006
CPD033,0.949957295568579,,0.983820958311424
CPD035,0.755461643939397,,0.952625442720188
CPD036,0.850074140288931,,0.971154408465267
CPD039,0.258427814934246,,0.7839475506774
CPD040,0.398724361850543,,0.860397199433254
CPD041,0.804939097429064,,0.968313236790388
CPD812,0.680301005519828,,0.927763473820978
CPD044,0.845932300032279,,0.971154408465267
CPD046,0.805329908906213,,0.968313236790388
CPD048,0.175809081185306,,0.691608086866402
CPD049,0.440220927843844,,0.874102069524365
CPD050,0.900485861211313,,0.971154408465267
CPD051,0.514853787801409,,0.906440352509939
CPD052,0.896052758381755,,0.971154408465267
CPD053,0.221957129231668,,0.746250924206884
CPD054,0.123011782588622,,0.620377580533569
CPD056,0.0359995714414946,,0.348939966129279
CPD057,0.743724163789894,,0.952269173309789
CPD058,0.580262050590369,,0.923241336177006
CPD059,0.634034489879126,,0.923241336177006
CPD060,0.73460970682703,,0.948329191368211
CPD061,0.00461922153561746,,0.15282318914831
CPD062,0.21611491496308,,0.743736748011572
CPD063,0.778552284410275,,0.967557308436374
CPD064,0.978892502257918,,0.997225495562615
CPD065,0.940899559205036,,0.983820958311424
CPD066,0.976410949285432,,0.997159681957748
CPD067,0.344538885328521,,0.80938772137862
CPD068,0.0675617216357425,,0.484192338389488
CPD069,0.00182667252908891,,0.0877877327215083
CPD070,0.453498228883761,,0.882162030947697
CPD071,0.45119823636497,,0.879782718640049
CPD072,0.586751466467095,,0.923241336177006
CPD073,0.904336222007261,,0.971154408465267
CPD074,0.88220405701902,,0.971154408465267
CPD075,0.949494335931493,,0.983820958311424
CPD076,0.870216495662556,,0.971154408465267
