label,p_value,fold_change,adjusted_p_value
CPD037,0.0431578887336323,,0.309372834844223
CPD047,0.946089722160626,,0.981908545579833
CPD079,0.429011814132731,,0.757735152234434
CPD589,0.813305449434249,,0.936790790457036
CPD590,0.589893385658291,,0.860854097767191
CPD668,0.622609996566746,,0.874440201718527
CPD669,0.75079872910678,,0.91780035548525
CPD765,0.00386655837140873,,0.14065747067526
CPD784,0.134558260595317,,0.486265692413857
CPD819,0.534658522668715,,0.831999639035424
CPD842,0.0157391570336916,,0.205265667067962
CPD926,0.0330941679156837,,0.27277617191109
CPD928,0.855989417200522,,0.952393510471242
CPD130,0.515844672395903,,0.822566435660031
CPD133,0.175519178280286,,0.538077717634961
CPD134,0.164354492269675,,0.529714584560429
CPD248,0.101547572418921,,0.423087324174964
CPD391,0.526862653115224,,0.828362090447057
CPD749,0.194691793898449,,0.569421160649228
CPD761,0.375013961997495,,0.716654316135728
CPD762,0.0768158539782911,,0.375339741594524
CPD825,0.0719128244248739,,0.366755404566857
CPD852,0.198489020025211,,0.572321697316509
CPD001,0.903941885242225,,0.965466725599026
CPD002,0.289473703464546,,0.654696351175642
CPD003,0.00132519980150149,,0.0772402170018014
CPD004,0.0594429681652783,,0.346467585877622
CPD005,0.909278212051941,,0.967732615157857
CPD006,0.563757430954752,,0.8478950563129
CPD007,0.443263472533923,,0.774104432290582
CPD008,0.85438076276005,,0.952393510471242
CPD010,0.410558951335136,,0.744480231754381
CPD011,0.0325779619758902,,0.2712613976768
CPD847,0.722452570423051,,0.913986507697999
CPD013,0.159435784385408,,0.528860162839402
CPD014,0.315733501438526,,0.679246699832547
CPD015,0.696333635374996,,0.904727228422068
CPD016,0.876292826865687,,0.96094390904635
CPD017,0.149634330209875,,0.511278544955023
CPD018,0.0274744584095237,,0.263754800731428
CPD838,0.00379517844104277,,0.14065747067526
CPD019,0.911993114039696,,0.967732615157857
CPD020,0.111103276264867,,0.442414183078464
CPD834,0.00580521430071986,,0.143547117254164
CPD022,0.994288255803314,,0.996731224490792
CPD023,0.796861325183789,,0.929845587347137
CPD024,0.228488405863574,,0.621488463948921
CPD025,6.78503583288572e-07,,0.000553658923963475
CPD026,0.75229384134959,,0.91780035548525
CPD027,0.660013737818898,,0.893152918839503
CPD028,0.0313423923433829,,0.269214654233689
CPD829,0.0751486729879191,,0.371644346412982
CPD030,0.180753904143662,,0.545367546809413
CPD031,0.0262466136826293,,0.261185814207628
CPD032,0.920839191742594,,0.970392314452591
CPD033,0.0638504551274038,,0.347404543749843
CPD035,0.981825308354733,,0.996731224490792
CPD036,0.0809162657912589,,0.381140412920187
CPD039,0.549142185693912,,0.842293277304948
CPD040,0.604649813242111,,0.871124043948585
CPD041,0.667805257899099,,0.894414603982659
CPD812,0.00920140923231637,,0.163224998555873
CPD044,0.746652831508827,,0.91780035548525
CPD046,0.639602249330821,,0.880127209871754
CPD048,0.790060104382668,,0.926017975418535
CPD049,0.646725231070907,,0.883283893494319
CPD050,0.0928061301996432,,0.409350282394102
CPD051,0.339797298177532,,0.702412001731056
CPD052,0.0346863870097359,,0.273042129736052
CPD053,0.354533267087577,,0.707332875167391
CPD054,0.988709430094172,,0.996731224490792
CPD056,0.0118275902590544,,0.177007533346486
CPD057,0.89264152335433,,0.96094390904635
CPD058,0.817937971441795,,0.936790790457036
CPD059,0.865328664285122,,0.952912537188474
CPD060,0.606698066454927,,0.871124043948585
CPD061,0.0578247394257978,,0.344415966214971
CPD062,0.982595831704159,,0.996731224490792
CPD063,0.299736928349406,,0.663349606911143
CPD064,0.7850051963282,,0.926017975418535
CPD065,0.620503507090457,,0.87402764439558
CPD066,0.342328352577889,,0.702412001731056
CPD067,0.167309228693633,,0.529714584560429
CPD068,0.000184443047115615,,0.0167228362718157
CPD069,0.210216742153357,,0.589473751192918
CPD070,0.208099131529144,,0.587411246954606
CPD071,0.0247615171681058,,0.252567475114679
CPD072,0.280963518397388,,0.653914650155834
CPD073,0.671907049315404,,0.894414603982659
CPD074,0.746748341990539,,0.91780035548525
CPD075,2.00007237107268e-06,,0.000816029527397652
CPD076,0.68025741856215,,0.897176390092271
CPD077,0.572205164776401,,0.850490736716837
CPD078,0.576812259820125,,0.854226504561202
CPD080,0.161134940490044,,0.529714584560429
CPD081,0.451965061200565,,0.77642839987297
CPD082,0.13170539717602,,0.479783946855502
CPD083,0.409499578734974,,0.744480231754381
CPD086,0.448984658849171,,0.774569728585463
CPD087,0.0878784376498708,,0.402858455743228
CPD088,0.925950882530468,,0.972427181653619
CPD089,0.00458906418282114,,0.143547117254164
CPD090,0.993024196358926,,0.996731224490792
CPD092,0.270016650349991,,0.651874516821281
CPD093,0.726792162989696,,0.916441266147043
CPD094,0.447766289266121,,0.774104432290582
CPD095,0.557205083106432,,0.8478950563129
CPD096,0.77204897553816,,0.923661858549605
CPD097,0.708565950007007,,0.904872538239843
CPD098,0.758085097545415,,0.91780035548525
CPD099,0.201117244260567,,0.577652882375678
CPD100,0.633230577383888,,0.877924954382184
CPD101,0.542187696274559,,0.834764453132152
CPD102,0.670271212467591,,0.894414603982659
CPD103,0.0237163288205203,,0.248109286122366
CPD105,0.278915371902179,,0.653914650155834
CPD106,0.768569140198563,,0.9209286613833
CPD107,0.00654843365086251,,0.154100796353876
CPD108,0.896503050340348,,0.961453869091001
CPD109,0.679965328282581,,0.897176390092271
CPD110,0.735804226609284,,0.91780035548525
CPD111,0.259578254627967,,0.644488142846393
CPD112,0.517328357588408,,0.822884872889163
CPD115,0.322926993143268,,0.686219860429444
CPD116,0.950622243882436,,0.981908545579833
CPD117,0.608190571583776,,0.871124043948585
CPD118,0.00545746644898661,,0.143547117254164
CPD119,0.386563841938563,,0.721821727738827
CPD120,0.436965839859964,,0.768457166650281
CPD121,0.001312745038071,,0.0772402170018014
CPD122,0.85908253448883,,0.952393510471242
CPD123,0.00269748270901818,,0.110057294527942
CPD124,0.166402380401558,,0.529714584560429
CPD125,0.856435271877567,,0.952393510471242
CPD126,0.232897207733174,,0.627208321816074
CPD127,0.0517751719496756,,0.332665671739648
CPD128,0.256950831961619,,0.644488142846393
CPD129,0.10425089165728,,0.423087324174964
CPD132,0.744690587305294,,0.91780035548525
CPD135,0.104734852308018,,0.423087324174964
CPD136,0.609540898393371,,0.871124043948585
CPD817,0.305722811336165,,0.670446830803865
CPD138,0.230319253981836,,0.624387080562053
CPD139,0.404140896471257,,0.742647363052833
CPD140,0.0121475758178961,,0.177007533346486
CPD141,0.0293015214192582,,0.268652151439491
CPD142,0.168781607825627,,0.529714584560429
CPD143,0.157305636516257,,0.523924079172514
CPD144,0.466136495615772,,0.784262640046331
CPD145,0.162691445145408,,0.529714584560429
CPD146,0.970233351827537,,0.993363130603852
CPD147,0.00962219740208712,,0.167057725108576
CPD149,0.0301169569809418,,0.269214654233689
CPD150,0.032211535835197,,0.270975394242482
CPD151,0.0282883476281785,,0.266133447154936
CPD152,0.00864408918885019,,0.160308563138676
CPD153,0.043221204867943,,0.309372834844223
CPD154,0.193073472009349,,0.566719255969888
CPD155,0.0912886018697199,,0.405508815907427
CPD156,0.0633209782209919,,0.347404543749843
CPD157,0.0289575528662496,,0.268515490214315
CPD158,0.0758517556499082,,0.372861642230874
CPD159,0.683304979039598,,0.897176390092271
CPD160,0.101476710038329,,0.423087324174964
CPD161,,,
CPD162,0.0543501177016347,,0.333456361237097
CPD163,0.981811827352409,,0.996731224490792
CPD164,,,
CPD165,0.285193983264695,,0.654696351175642
CPD166,0.17620709930728,,0.538077717634961
CPD167,0.483252910642697,,0.797709228185256
CPD168,0.0476916213413974,,0.320391088964788
CPD169,0.496879563266248,,0.806025766942883
CPD170,0.143478668235232,,0.50033586871773
CPD171,0.378028719630091,,0.717375430739894
CPD172,0.0311973337415689,,0.269214654233689
CPD173,0.0606291696896084,,0.346661177382181
CPD175,0.92366004873032,,0.971271391448378
CPD177,0.0461642288870074,,0.319639912469087
CPD178,0.591837192214944,,0.860854097767191
CPD179,0.503604203176385,,0.813744613449367
CPD180,0.835228430097004,,0.940500842131917
CPD181,0.213240592773262,,0.593601282653784
CPD182,0.191006873109943,,0.56267728685095
CPD183,0.354494682803497,,0.707332875167391
CPD184,0.48742204073727,,0.79981120851802
CPD185,0.0533197859154944,,0.333456361237097
CPD186,0.0909284205956666,,0.405508815907427
CPD187,0.0569644142106323,,0.341786485263794
CPD188,0.811556294642585,,0.936790790457036
CPD189,0.247454427061869,,0.642551137169802
CPD190,0.25624921472461,,0.644488142846393
CPD191,0.135550828953747,,0.486265692413857
CPD192,0.213871050367908,,0.593601282653784
CPD193,0.0744460997093751,,0.371644346412982
CPD194,0.10253833377706,,0.423087324174964
CPD195,0.669204608933715,,0.894414603982659
CPD196,0.0750980992876827,,0.371644346412982
CPD197,0.346178454188402,,0.702412001731056
CPD198,0.368220205042874,,0.713699969869324
CPD199,0.480529026207295,,0.796974970295026
CPD200,0.319677230575832,,0.68108778107018
CPD201,0.36459279298812,,0.713699969869324
CPD202,0.875869949053712,,0.96094390904635
CPD203,0.412514185698834,,0.744715875066922
CPD204,0.0954034684422269,,0.410213246208525
CPD205,0.0633205349299951,,0.347404543749843
CPD206,0.0831246470223106,,0.385396090739804
CPD207,0.0187622966533794,,0.221884551726921
CPD209,0.409798345049235,,0.744480231754381
CPD210,0.275883174095144,,0.653914650155834
CPD211,0.236761708590019,,0.635518270425841
CPD212,0.00538531489750525,,0.143547117254164
CPD213,0.0470058694807481,,0.319639912469087
CPD214,0.0111153535864928,,0.171134500501473
CPD215,0.256379834057877,,0.644488142846393
CPD216,0.124113467592186,,0.460348134341926
CPD217,0.986281574640831,,0.996731224490792
CPD218,0.790973687336665,,0.926017975418535
CPD219,0.120922894539562,,0.456819823816123
CPD221,0.955735242648768,,0.984696916668428
CPD222,0.0206470223101081,,0.236453168124682
CPD224,0.647308539595101,,0.883283893494319
CPD225,0.137702991834214,,0.489664338162986
CPD227,0.32795694308352,,0.691506112548197
CPD229,0.120738911020782,,0.456819823816123
CPD232,0.284922089099653,,0.654696351175642
CPD234,0.254280572246635,,0.644488142846393
CPD236,0.312105957823046,,0.679142564222948
CPD237,0.703813695756689,,0.904872538239843
CPD238,0.0104931682274945,,0.171134500501473
CPD239,0.567173311734747,,0.8478950563129
CPD240,0.39684051496483,,0.73428993245193
CPD242,0.773870619286132,,0.923661858549605
CPD244,0.0358858477236649,,0.278884302309624
CPD246,0.409638401192565,,0.744480231754381
CPD247,0.0914382624104983,,0.405508815907427
CPD249,0.135732607270213,,0.486265692413857
CPD250,0.280125034491685,,0.653914650155834
CPD253,0.727762181940299,,0.916441266147043
CPD254,0.427986620700087,,0.757564170263061
CPD258,0.779594421206325,,0.925015354438732
CPD259,0.0465982954221219,,0.319639912469087
CPD261,0.529896956252315,,0.831252979748006
CPD262,0.344644755969364,,0.702412001731056
CPD264,0.103702521528237,,0.423087324174964
CPD268,0.0658201715270597,,0.353350394513689
CPD271,0.374251522668763,,0.716654316135728
CPD272,0.0150276013730277,,0.205265667067962
CPD274,0.156080309074522,,0.521973492642665
CPD275,0.345841427972482,,0.702412001731056
CPD276,0.052364347831675,,0.333456361237097
CPD277,0.949425616496237,,0.981908545579833
CPD278,0.861649736243355,,0.952393510471242
CPD280,0.101024050301918,,0.423087324174964
CPD281,0.149749475789523,,0.511278544955023
CPD282,0.464877523617256,,0.784262640046331
CPD283,,,
CPD284,0.258495781362743,,0.644488142846393
CPD285,0.491419712710359,,0.800396178785735
CPD287,0.512322451707012,,0.822566435660031
CPD288,0.565483578990386,,0.8478950563129
CPD290,0.891731648853557,,0.96094390904635
CPD292,0.0416451570574216,,0.306148181611315
CPD293,0.190143407427429,,0.562282448903006
CPD294,0.767537518188314,,0.9209286613833
CPD295,0.00733780364083915,,0.155973222941494
CPD298,0.597519510924453,,0.865567112733748
CPD299,0.725780545324717,,0.916441266147043
CPD301,0.306466504766963,,0.670446830803865
CPD302,0.0615050068694121,,0.347404543749843
CPD304,0.333799561028794,,0.700206791258343
CPD305,0.470350203904425,,0.789723799148171
CPD306,0.283406594558774,,0.654696351175642
CPD307,0.531489228065646,,0.831252979748006
CPD310,0.251330288358052,,0.644488142846393
CPD312,0.00237882044470219,,0.107839860159833
CPD313,0.368195169894923,,0.713699969869324
CPD314,0.827029066611493,,0.940500842131917
CPD315,0.114614019969048,,0.442414183078464
CPD316,0.314914600358501,,0.679246699832547
CPD317,0.0311400877712318,,0.269214654233689
CPD318,0.699589627368381,,0.904872538239843
CPD319,0.967265010481715,,0.992815406985006
CPD320,0.625794728441326,,0.8765789250234
CPD321,0.037868080433025,,0.281892066204589
CPD322,0.0587223257786176,,0.344729624714762
CPD323,0.0903469695638105,,0.405508815907427
CPD324,0.228160831849721,,0.621488463948921
CPD325,0.0726199325803245,,0.368061273202142
CPD326,0.267051421088696,,0.650922986342307
CPD327,0.439600730663336,,0.771428378970499
CPD328,0.0156239249027724,,0.205265667067962
CPD330,0.274473905975021,,0.652975822960983
CPD331,0.776329061324248,,0.924794911008156
CPD332,0.190183769481899,,0.562282448903006
CPD334,0.0694474689112331,,0.358665409060545
CPD336,0.257910046029893,,0.644488142846393
CPD337,0.14411846861335,,0.500428384631886
CPD338,0.176721603340894,,0.538077717634961
CPD339,0.0309993094960349,,0.269214654233689
CPD340,0.0272695016511238,,0.263754800731428
CPD341,0.559384714207296,,0.8478950563129
CPD342,0.0211532858738993,,0.236453168124682
CPD343,0.736443351348982,,0.91780035548525
CPD344,0.474921052726199,,0.795760942555603
CPD345,0.170930689968868,,0.532692177636254
CPD346,0.102413752131975,,0.423087324174964
CPD347,0.346902005756882,,0.702412001731056
CPD348,0.862523044409618,,0.952393510471242
CPD349,0.0178372610466737,,0.218018201728898
CPD351,0.0342249705949675,,0.273042129736052
CPD352,0.163682010438402,,0.529714584560429
CPD353,0.753091612012027,,0.91780035548525
CPD354,0.521416401353592,,0.824668806933679
CPD355,0.830859423847555,,0.940500842131917
CPD356,0.0750948571875244,,0.371644346412982
CPD357,0.628347222972734,,0.8765789250234
CPD358,0.29365056927731,,0.654696351175642
CPD359,0.2935604083524,,0.654696351175642
CPD361,0.120399081363342,,0.456819823816123
CPD362,0.582806671468601,,0.85553074255816
