label,p_value,fold_change,adjusted_p_value
CPD037,0.719980274699503,,0.898409112297168
CPD047,0.250633465703691,,0.571472383985448
CPD079,0.00941712494166102,,0.208940080138653
CPD589,,,
CPD590,0.034607834886765,,0.258072960363106
CPD668,0.203021716433188,,0.519272507948596
CPD669,0.504020263197495,,0.784215830990392
CPD765,0.515903308940498,,0.795350934616601
CPD784,0.0435193094047494,,0.290366539798902
CPD819,0.929745491623669,,0.976914786347907
CPD842,0.136001611206065,,0.447433522804952
CPD926,0.0368211182128009,,0.268768720250076
CPD928,0.413839297999624,,0.71839909202751
CPD130,0.912083796246684,,0.969237872251698
CPD133,0.114869421589112,,0.416897686715591
CPD134,0.584041155269129,,0.856353853912789
CPD248,0.126261557594775,,0.433657839165178
CPD391,0.0684266616026026,,0.329581671861056
CPD749,0.527857964541066,,0.803133426423229
CPD761,0.08619261098989,,0.371221086485558
CPD762,0.37117302568628,,0.680312013724832
CPD825,0.423653973929475,,0.726009125849668
CPD852,0.651382012077171,,0.888026008873969
CPD001,0.996113533821581,,0.999574541669973
CPD002,0.65447482110108,,0.888735109507442
CPD003,0.833590761665059,,0.951292932975728
CPD004,0.341306454098648,,0.655243994425234
CPD005,0.649651924606369,,0.888026008873969
CPD006,0.89916173415976,,0.963049541586901
CPD007,0.0644509736704405,,0.326823216927242
CPD008,0.898337673949788,,0.963049541586901
CPD010,0.715826764710484,,0.898409112297168
CPD011,0.392640883970459,,0.697818568144182
CPD847,0.272083043820951,,0.589030542408248
CPD013,0.941051860072266,,0.980814614723207
CPD014,0.26789688836516,,0.589019292807651
CPD015,0.475600584075498,,0.769851588326262
CPD016,0.666320057966375,,0.88964604128852
CPD017,0.511461785932112,,0.791501699142089
CPD018,0.198503390891677,,0.519272507948596
CPD838,0.720726003070193,,0.898409112297168
CPD019,0.736576806307428,,0.901542377347534
CPD020,0.730901267351262,,0.900658646292836
CPD834,0.48443273497782,,0.774047538746635
CPD022,0.148306983804395,,0.457021914435521
CPD023,0.896337375951389,,0.962557551483418
CPD024,0.221741503987147,,0.535601140194474
CPD025,0.0732873251855567,,0.337038885316628
CPD026,0.0023200634743252,,0.184429541800897
CPD027,0.907112250037498,,0.965214864745782
CPD028,0.819390884158591,,0.948768392183632
CPD829,0.140301688021418,,0.45319672241839
CPD030,0.147272554442956,,0.457021914435521
CPD031,0.994253244710369,,0.99916313727684
CPD032,0.0290060004434584,,0.243411178979125
CPD033,0.674263194916844,,0.893892900101484
CPD035,0.961433774019396,,0.986894189220414
CPD036,0.150618766309437,,0.457897216262459
CPD039,0.584929659429375,,0.856353853912789
CPD040,0.737625581466164,,0.901542377347534
CPD041,0.940417545303337,,0.980814614723207
CPD812,0.164650215386392,,0.473316868128616
CPD044,0.721454474872997,,0.898409112297168
CPD046,0.454449292881981,,0.74731661496148
CPD048,0.108231645136248,,0.41382914168581
CPD049,0.115019109698132,,0.416897686715591
CPD050,0.0073955865924926,,0.208940080138653
CPD051,0.429073868249796,,0.732214106405312
CPD052,0.00844159129069311,,0.208940080138653
CPD053,0.0305172580022616,,0.246481956873659
CPD054,0.178738729355832,,0.489876517493763
CPD056,0.146860804939375,,0.457021914435521
CPD057,0.450318175797243,,0.74375113188394
CPD058,0.684108879958037,,0.897503405577398
CPD059,0.286700571618893,,0.607745482546299
CPD060,0.0565995097624238,,0.303105269385612
CPD061,0.376801165761591,,0.683109463095624
CPD062,0.131953697321631,,0.442637404576556
CPD063,0.644162287852837,,0.888026008873969
CPD064,0.960031582786746,,0.986699126753044
CPD065,0.000503086220010837,,0.112329364510584
CPD066,0.00118177071550974,,0.184429541800897
CPD067,0.00787968819767966,,0.208940080138653
CPD068,0.935699324923633,,0.980814614723207
CPD069,0.11523584706512,,0.416897686715591
CPD070,0.671633532186003,,0.892563574379845
CPD071,0.0920140416219453,,0.37827994889022
CPD072,0.0375769474102108,,0.268768720250076
CPD073,0.682953587728686,,0.897503405577398
CPD074,0.868616087462359,,0.960379874762408
CPD075,0.84352835267369,,0.951292932975728
CPD076,0.848482619447677,,0.953956978218797
CPD077,0.857583665931531,,0.957576274442066
