label,p_value,fold_change,adjusted_p_value
CPD037,0.33877421721176,,0.672590762952127
CPD047,0.364874808966496,,0.702732173173603
CPD079,0.589814745264088,,0.850282321952044
CPD589,,,
CPD590,0.069646969549851,,0.322117234168061
CPD668,0.0594783626054038,,0.298860414572831
CPD669,0.102260964084563,,0.394504382771726
CPD765,0.126733989809655,,0.431073405925249
CPD784,0.0784231124877542,,0.339308408830527
CPD819,0.707031613842294,,0.91308303519765
CPD842,0.126220574925117,,0.431073405925249
CPD926,0.0411179931896115,,0.244549273746583
CPD928,0.600703564285848,,0.854847379945245
CPD130,0.937779063874785,,0.978656612812917
CPD133,0.0199670516786953,,0.188990465889046
CPD134,0.119892591242488,,0.420622235982622
CPD248,0.963214973861893,,0.991192743428111
CPD391,0.370765920387643,,0.705285084625322
CPD749,0.81449204139674,,0.947761367494678
CPD761,0.728225073155783,,0.917791486460721
CPD762,0.931982388318658,,0.976362502048118
CPD825,0.122231863657983,,0.422065913635082
CPD852,0.889827738084544,,0.963496927792941
CPD001,0.817356855013837,,0.947761367494678
CPD002,0.49288814767187,,0.809849816933953
CPD003,0.542125326494885,,0.832622671258183
CPD004,0.112573070026101,,0.412767923429037
CPD005,0.802924465230739,,0.945822643645323
CPD006,0.0138955085165347,,0.17359824550686
CPD007,0.747239587018198,,0.923129308329916
CPD008,0.409932124362228,,0.741521664957452
CPD010,0.85080148098234,,0.952547723260056
CPD011,0.904702234796574,,0.965926500397287
CPD847,0.0317599443330939,,0.22286719557878
CPD013,0.460360097957837,,0.790523184799505
CPD014,0.70908472362801,,0.91308303519765
CPD015,0.160984366951853,,0.475902579735871
CPD016,0.835112892199115,,0.950031475124568
CPD017,0.590286859813168,,0.850282321952044
CPD018,0.122368004444569,,0.422065913635082
CPD838,0.807271946979821,,0.945822643645323
CPD019,0.0128081877414351,,0.17359824550686
CPD020,0.0130498777839882,,0.17359824550686
CPD834,0.465080515868533,,0.793173167146759
CPD022,0.612663737628108,,0.861995382823687
CPD023,0.662046803136151,,0.888985826764806
CPD024,0.0828702028811205,,0.351335130964751
CPD025,0.0677305545469967,,0.316940984428358
CPD026,0.314726133515472,,0.647769426252233
CPD027,0.970212902933554,,0.991192743428111
CPD028,0.990020192821171,,0.997032942978137
CPD829,0.171816919653223,,0.494201316599731
CPD030,0.02452535255154,,0.210143547125827
CPD031,0.710051058083676,,0.91308303519765
CPD032,0.314698566422783,,0.647769426252233
CPD033,0.870968924724689,,0.954197449160022
