label,p_value,fold_change,adjusted_p_value
CPD037,0.751896622990114,,0.96396045478767
CPD047,0.18492869694534,,0.655497720122142
CPD079,0.0317102259763817,,0.363059463252471
CPD589,0.523313582116224,,0.875048940587784
CPD590,0.00395731322645736,,0.115327414028186
CPD668,0.0540411517002524,,0.445430098862687
CPD669,0.402305536107357,,0.80059727080825
CPD765,0.425417560265275,,0.811076470038468
CPD784,0.628263229715867,,0.9335995431126
CPD819,0.314463018568305,,0.722822037047145
CPD842,0.150029109579878,,0.614558330828357
CPD926,0.271461972857764,,0.716219167903585
CPD928,0.300979512681752,,0.720454344567423
CPD130,0.609949366782683,,0.932057459353314
CPD133,0.422770260733388,,0.810606500691592
CPD134,0.212688797070397,,0.662420070265053
CPD248,0.0352238755199029,,0.371211373722812
CPD391,0.291612555563215,,0.716219167903585
CPD749,0.472572479036817,,0.846706305713848
CPD761,0.9964401846635,,0.997662810656952
CPD762,0.746200380900826,,0.96396045478767
CPD825,0.906015403300857,,0.986786295123633
CPD852,0.921408034876712,,0.986786295123633
CPD001,0.373701002387349,,0.775928798850068
CPD002,0.63269674919273,,0.9335995431126
CPD003,0.0901579834043038,,0.484006016170473
CPD004,0.362857038098824,,0.775108227980734
CPD005,0.684341208045576,,0.955052060755678
CPD006,0.616551370905179,,0.932665112560947
CPD007,0.768589383594789,,0.964733666210741
CPD008,0.848861527394205,,0.97539151544303
CPD010,0.178182486694944,,0.651906845054747
CPD011,0.354339370237234,,0.771042469636221
CPD847,0.928905343659963,,0.986786295123633
CPD013,0.490217743507924,,0.859398748172258
CPD014,0.551633568935167,,0.891352459903162
CPD015,0.978211874684855,,0.995332391308241
CPD016,0.482157319468921,,0.855305158014434
CPD017,0.896124263016553,,0.986786295123633
CPD018,0.0973185459923233,,0.496324584560849
CPD838,0.071526497738797,,0.467931586533099
CPD019,0.129745891272241,,0.56616388918796
CPD020,0.825126716736414,,0.974575566803458
CPD834,0.122673469214764,,0.56123048483652
CPD022,0.578929691939722,,0.909619897347218
CPD023,0.99935870544085,,0.99935870544085
CPD024,0.871679884214622,,0.982949905161043
CPD025,0.438778993174726,,0.824985388088886
CPD026,0.754045873851164,,0.96396045478767
CPD027,0.902140470233258,,0.986786295123633
CPD028,0.540604182266404,,0.88759157490822
CPD829,0.243861792815667,,0.686176630819257
CPD030,0.853160793237213,,0.97539151544303
CPD031,0.661634806413225,,0.946988794845378
CPD032,0.910139132383415,,0.986786295123633
CPD033,0.96686199367614,,0.995094177954198
CPD035,0.925555315889859,,0.986786295123633
CPD036,0.851164572173337,,0.97539151544303
CPD039,0.0777590977615566,,0.467931586533099
CPD040,0.23505756337907,,0.675376660976482
CPD041,0.928787715225328,,0.986786295123633
CPD812,0.531099156456233,,0.879060672755144
CPD044,0.498488445654048,,0.859918512004961
CPD046,0.191369743540548,,0.655497720122142
CPD048,0.919113723862575,,0.986786295123633
CPD049,0.254402541426964,,0.699419731643358
CPD050,0.0565068966294955,,0.452055173035964
CPD051,0.892089586027808,,0.986786295123633
CPD052,0.00873881959885549,,0.171557532057169
CPD053,0.770550323657245,,0.964733666210741
CPD054,0.202586675760514,,0.655497720122142
CPD056,0.913457403229165,,0.986786295123633
CPD057,0.0423697448277822,,0.397398985970922
CPD058,0.729897342480948,,0.96396045478767
CPD059,0.704170580928094,,0.955052060755678
CPD060,0.512559187731658,,0.867735056408783
CPD061,0.202064942186373,,0.655497720122142
CPD062,0.861121806152285,,0.977295401697169
CPD063,0.876565164857663,,0.982978181901256
CPD064,0.971889566484042,,0.995332391308241
CPD065,0.000739849582121286,,0.0623230922794155
CPD066,0.381675017357666,,0.782529683828782
CPD067,0.876970730911905,,0.982978181901256
CPD068,0.405399513576676,,0.800983058301617
CPD069,0.797915249533848,,0.969941587447956
CPD070,0.259320307012185,,0.707710269304156
CPD071,0.291028334463349,,0.716219167903585
CPD072,0.890271212501154,,0.986786295123633
CPD073,0.751781728311153,,0.96396045478767
CPD074,0.966438467885518,,0.995094177954198
CPD075,0.139249099450855,,0.585707552329368
CPD076,0.91864313539747,,0.986786295123633
CPD077,0.470495010945326,,0.845647420553714
CPD078,0.81631440579646,,0.971945919978387
CPD080,0.312951418978903,,0.722822037047145
CPD081,0.632198931926928,,0.9335995431126
CPD082,0.00173676004118286,,0.0829314807053068
CPD083,0.921022067887912,,0.986786295123633
CPD086,0.230503752314288,,0.675376660976482
CPD087,0.166945702776292,,0.636578006847916
CPD088,0.820359865242004,,0.974401237318014
CPD089,0.904861957388264,,0.986786295123633
CPD090,0.923103708405903,,0.986786295123633
CPD092,0.391173363685095,,0.78757738377026
CPD093,0.133521042371794,,0.567464430080123
CPD094,0.882892420463679,,0.985421774127895
CPD095,0.875024094655092,,0.982978181901256
CPD096,0.298336740781781,,0.720244912656607
CPD097,0.702367537431104,,0.955052060755678
CPD098,0.639061607930789,,0.937931511570482
CPD099,0.0957193993019633,,0.492499477124141
CPD100,0.654262842029863,,0.94339261716434
CPD101,0.109847010082734,,0.5465558550458
CPD102,0.0874670785111499,,0.479014336007372
CPD103,0.652014514467034,,0.94339261716434
CPD105,0.827737693890325,,0.974575566803458
CPD106,0.894611795312698,,0.986786295123633
CPD107,0.989555559823011,,0.997662810656952
CPD108,0.562857180544468,,0.898809118051441
CPD109,0.673002138229209,,0.951767322001792
CPD110,0.203236425479046,,0.655497720122142
CPD111,0.759701518836644,,0.96396045478767
CPD112,0.884609930505509,,0.985421774127895
CPD115,0.490696064270335,,0.859398748172258
CPD116,0.706513441831475,,0.955052060755678
CPD117,0.874810370639059,,0.982978181901256
CPD118,0.157408842329745,,0.625721334274973
CPD119,0.797104196075291,,0.969941587447956
CPD120,0.714313777311605,,0.957110085855944
CPD121,0.114587359513198,,0.554927913584889
CPD122,0.463717121223576,,0.839009248156182
CPD123,0.0742360179502357,,0.467931586533099
CPD124,0.703193786127552,,0.955052060755678
CPD125,0.696485570651779,,0.955052060755678
CPD126,0.279702525645172,,0.716219167903585
CPD127,0.497404521864469,,0.859918512004961
CPD128,0.915767404721223,,0.986786295123633
CPD129,0.112448890761171,,0.554927913584889
CPD132,0.372632221787564,,0.775683400455746
CPD135,0.483248995454142,,0.855382169827722
CPD136,0.0420311479077972,,0.397398985970922
CPD817,0.713202300534363,,0.957110085855944
CPD138,0.424393667542589,,0.811019280362418
CPD139,0.639438584177326,,0.937931511570482
CPD140,0.0128552739189469,,0.218539656622098
CPD141,0.0402500868505583,,0.397398985970922
CPD142,0.186905027710685,,0.655497720122142
CPD143,0.09378320369836,,0.490935710408856
CPD144,0.722531818562782,,0.961804182621908
CPD145,0.00502268402654977,,0.130758779806442
CPD146,0.00801669591827393,,0.171319447580672
CPD147,0.0732716138144774,,0.467931586533099
CPD149,0.0776121405435884,,0.467931586533099
CPD150,0.353780359814231,,0.771042469636221
CPD151,0.00428280188338538,,0.120509184029051
CPD152,0.270177655975414,,0.716219167903585
CPD153,0.34989081580064,,0.767502434659468
CPD154,0.37213938890909,,0.775683400455746
CPD155,0.0959649716455128,,0.492499477124141
CPD156,0.100504427026583,,0.503138726709763
CPD157,0.173913565393408,,0.645772410592931
CPD158,0.176496711478404,,0.648744669217917
CPD159,0.00620637824944145,,0.148953077986595
CPD160,0.0739164178859349,,0.467931586533099
CPD161,0.381156975270953,,0.782529683828782
CPD162,0.234986101678452,,0.675376660976482
CPD163,0.00243286639660543,,0.0992609489815017
CPD164,,,
CPD165,0.296449294619652,,0.717811941868356
CPD166,0.0414458799602327,,0.397398985970922
CPD167,0.00485255141937399,,0.130758779806442
CPD168,0.047967341030804,,0.415262637977001
CPD169,0.000429264103491681,,0.0523121146448042
CPD170,0.209862583640157,,0.657461961152849
CPD171,0.033369435960705,,0.363059463252471
CPD172,0.0610008557317832,,0.467931586533099
CPD173,0.0102059028921544,,0.185067039111067
CPD175,0.307252588124342,,0.720454344567423
CPD177,0.455840071174339,,0.833458584651822
CPD178,0.760362493929092,,0.96396045478767
CPD179,0.0164244835097196,,0.257738048921754
CPD180,0.034032745517866,,0.36540421503393
CPD181,0.742722588809086,,0.96396045478767
