label,p_value,fold_change,adjusted_p_value
CPD037,0.681502479264746,,0.981310526651526
CPD047,0.449405678158048,,0.948840388345309
CPD079,0.839293832457665,,0.982943883098698
CPD589,0.64820001655437,,0.981310526651526
CPD590,0.71206686267596,,0.981310526651526
CPD668,0.137026165603524,,0.80960814563538
CPD669,0.51067240421971,,0.950369101460184
CPD765,0.481269908554766,,0.950369101460184
CPD784,0.939976590957596,,0.984795062433667
CPD819,0.814875234813254,,0.982943883098698
CPD842,0.28465413619326,,0.948840388345309
CPD926,0.0192803300106418,,0.494565168546073
CPD928,0.0857115500372935,,0.771492240764299
CPD130,0.122688086321171,,0.798645067408593
CPD133,0.902820028256415,,0.982943883098698
CPD134,0.737283460471603,,0.981310526651526
CPD248,0.978094130761744,,0.99274722635368
CPD391,0.433896292605706,,0.948840388345309
CPD749,0.731812423112733,,0.981310526651526
CPD761,0.408445613136817,,0.948840388345309
CPD762,0.121298272478334,,0.798645067408593
CPD825,0.390431172593285,,0.948840388345309
CPD852,0.629125821481126,,0.981310526651526
CPD001,0.227009150366021,,0.948840388345309
CPD002,0.140868972896635,,0.80960814563538
CPD003,0.850342614750993,,0.982943883098698
CPD004,0.38539265656798,,0.948840388345309
CPD005,0.0928415729687202,,0.771492240764299
CPD006,0.708493792541416,,0.981310526651526
CPD007,0.0893723009350081,,0.771492240764299
CPD008,0.883483987868182,,0.982943883098698
CPD010,0.592692465600406,,0.971489868010343
CPD011,0.452626313292274,,0.948840388345309
CPD847,0.343751652648235,,0.948840388345309
CPD013,0.345391603379112,,0.948840388345309
CPD014,0.637588033383839,,0.981310526651526
CPD015,0.484047256295027,,0.950369101460184
CPD016,0.353691679321518,,0.948840388345309
CPD017,0.0127467516680291,,0.493481386005126
CPD018,0.43883088227236,,0.948840388345309
CPD838,0.694031787148117,,0.981310526651526
CPD019,0.0596043314511811,,0.673032242636253
CPD020,0.736764298931167,,0.981310526651526
CPD834,0.745638186532441,,0.981310526651526
CPD022,0.802557401906549,,0.982943883098698
CPD023,0.932650621170558,,0.984795062433667
CPD024,0.881234299689248,,0.982943883098698
CPD025,0.549338599249746,,0.958347507677879
CPD026,0.811165371500206,,0.982943883098698
CPD027,0.508690585994439,,0.950369101460184
CPD028,0.803925205087048,,0.982943883098698
CPD829,0.935794924853112,,0.984795062433667
CPD030,0.775497520373422,,0.982605524457998
CPD031,0.347693461891686,,0.948840388345309
CPD032,0.134177994320997,,0.80960814563538
CPD033,0.400558189371613,,0.948840388345309
CPD035,0.0554348818613375,,0.673032242636253
CPD036,0.322367218405652,,0.948840388345309
CPD039,0.725682346005665,,0.981310526651526
CPD040,0.804684245799218,,0.982943883098698
CPD041,0.777995092447315,,0.982605524457998
CPD812,0.974994982041659,,0.99274722635368
CPD044,0.762339664469486,,0.982605524457998
CPD046,0.466676367966869,,0.948840388345309
