label,p_value,fold_change,adjusted_p_value
CPD037,0.711984502268421,,0.949992602474872
CPD047,0.66540118831834,,0.949992602474872
CPD079,0.0466877313801322,,0.749964026326983
CPD589,,,
CPD590,0.0972105839568491,,0.795101632643375
CPD668,0.542835697819649,,0.936373491938051
CPD669,0.715061320942268,,0.949992602474872
CPD765,0.851501630561172,,0.983985249099042
CPD784,0.916195450336051,,0.983985249099042
CPD819,0.120209717572381,,0.795101632643375
CPD842,0.38419739422604,,0.867513771723177
CPD926,0.215697895768116,,0.804344113510385
CPD928,0.307730831251082,,0.867513771723177
CPD130,0.900010464977303,,0.983985249099042
CPD133,0.128366688836647,,0.795101632643375
CPD134,0.202723382141776,,0.804344113510385
CPD248,0.945480956675228,,0.983985249099042
CPD391,0.868168051240433,,0.983985249099042
CPD749,0.384475836889962,,0.867513771723177
CPD761,0.54352816668578,,0.936373491938051
CPD762,0.896638000806821,,0.983985249099042
CPD825,0.57070564767453,,0.939612490137695
CPD852,0.798120478868235,,0.972383635661649
CPD001,0.546613420909116,,0.936373491938051
CPD002,0.921319583183069,,0.983985249099042
CPD003,0.284535126368484,,0.837229256724532
CPD004,0.688221536201105,,0.949992602474872
CPD005,0.967222823996103,,0.98780210103051
CPD006,0.88861504992131,,0.983985249099042
CPD007,0.721867666041586,,0.949992602474872
CPD008,0.985036931684762,,0.990165805266993
CPD010,0.685683037638014,,0.949992602474872
CPD011,0.926905520968641,,0.983985249099042
CPD847,0.0678932124509905,,0.795101632643375
CPD013,0.0162386400100264,,0.415711901464591
CPD014,0.992971414739276,,0.994186802027819
CPD015,0.64428888126043,,0.949992602474872
CPD016,0.398624969749784,,0.867513771723177
CPD017,0.00129361741993765,,0.224910448393243
CPD018,0.886526130094467,,0.983985249099042
CPD838,0.555568528006722,,0.938294083352657
CPD019,0.986534390333251,,0.990165805266993
CPD020,0.505579220694606,,0.916992910262057
CPD834,0.410762978489781,,0.875010719803753
CPD022,0.234165867369055,,0.813372660362167
CPD023,0.747091993494039,,0.951902259623245
CPD024,0.266090219733675,,0.825378041040347
CPD025,0.637720225159806,,0.949992602474872
CPD026,0.674377465027121,,0.949992602474872
CPD027,0.330228348580161,,0.867513771723177
CPD028,0.16681358342562,,0.795101632643375
CPD829,0.289710340053481,,0.8426493967319
CPD030,0.381094170793149,,0.867513771723177
CPD031,0.742340497620411,,0.950668994523395
CPD032,0.818003703097347,,0.977494490520556
CPD033,0.372969798494016,,0.867513771723177
CPD035,0.166395862145956,,0.795101632643375
CPD036,0.0186749282166985,,0.462911857007859
CPD039,0.416959394992009,,0.877591316448702
CPD040,0.757779766227823,,0.960322104880798
CPD041,0.883679132556482,,0.983985249099042
CPD812,0.4011706961567,,0.867513771723177
CPD044,0.698217300466382,,0.949992602474872
CPD046,0.326189730963166,,0.867513771723177
CPD048,0.927836066335162,,0.983985249099042
CPD049,0.277175949861217,,0.834727921995253
CPD050,0.322479684044685,,0.867513771723177
CPD051,0.356430971131532,,0.867513771723177
CPD052,0.783023289740444,,0.968674067647925
CPD053,0.0421042051430385,,0.732792336319266
CPD054,0.57396146893182,,0.939612490137695
CPD056,0.351697554120208,,0.867513771723177
CPD057,0.080396692310797,,0.795101632643375
CPD058,0.0576637080758762,,0.773260872230602
CPD059,0.133553228794349,,0.795101632643375
CPD060,0.190001270930889,,0.804344113510385
CPD061,0.982220480522826,,0.990165805266993
CPD062,0.218440627630229,,0.804344113510385
CPD063,0.392475052241759,,0.867513771723177
CPD064,0.908038645477473,,0.983985249099042
