label,p_value,fold_change,adjusted_p_value
CPD037,0.93143670405861,,0.975733822375022
CPD047,0.869588367611791,,0.954843426049024
CPD079,0.000661645406584742,,0.0770344294809378
CPD589,0.608011787658014,,0.875220285705423
CPD590,0.0112625615212955,,0.286843363745494
CPD668,0.244133637259699,,0.684715975707071
CPD669,0.78877343132311,,0.944353831298304
CPD765,0.0088069362130901,,0.275546085784771
CPD784,0.188940655271966,,0.625925130392841
CPD819,0.1229324297212,,0.554955300787201
CPD842,0.152374252514221,,0.594186678464547
CPD926,0.0238735569858227,,0.313961293320478
CPD928,0.079678426195565,,0.495283543164195
CPD130,0.654932331341426,,0.884284297271814
CPD133,0.0286517398703538,,0.334446485010747
CPD134,0.0480573017897159,,0.418885717194306
CPD248,0.549153036401125,,0.862446015307597
CPD391,0.371904221283537,,0.782003583981084
CPD749,0.777755315157943,,0.93767837552326
CPD761,0.880860539181964,,0.958376851337965
CPD762,0.325392543480066,,0.742998152636013
CPD825,0.149487081357637,,0.591417336439196
CPD852,0.606711557056824,,0.875220285705423
CPD001,0.657884754607923,,0.884284297271814
CPD002,0.00419309990973207,,0.201022142731273
CPD003,0.152336551920426,,0.594186678464547
CPD004,0.597367006360616,,0.872321691773696
CPD005,0.886057299246761,,0.95901288032684
CPD006,0.445773381022606,,0.818255192642847
CPD007,0.0244617352051281,,0.313961293320478
CPD008,0.632885440033499,,0.884284297271814
CPD010,0.340402990489471,,0.75593579631858
CPD011,0.966475624461444,,0.982070407393045
CPD847,0.00395663240360283,,0.201022142731273
CPD013,0.100167549715547,,0.516687044418802
CPD014,0.964034658637096,,0.982070407393045
CPD015,0.544375588513978,,0.862446015307597
CPD016,0.863278563087741,,0.953349632678196
CPD017,0.0167648259184825,,0.313961293320478
CPD018,0.96286021156703,,0.982070407393045
CPD838,0.65968693587885,,0.884284297271814
CPD019,0.221009978758134,,0.66221739958779
CPD020,0.175764849358081,,0.616428750824256
CPD834,0.774480844188564,,0.935113908168415
CPD022,0.813756973985221,,0.946748700228104
CPD023,0.767366926127925,,0.935113908168415
CPD024,0.125971448644948,,0.554955300787201
CPD025,0.770038458609819,,0.935113908168415
CPD026,0.835983052290905,,0.946748700228104
CPD027,0.371460924593646,,0.782003583981084
CPD028,0.929237179699985,,0.975733822375022
CPD829,0.286198134579909,,0.719911974329092
CPD030,0.347802033404778,,0.764039507344729
CPD031,0.90802205529061,,0.967812481165901
CPD032,0.964753230942007,,0.982070407393045
CPD033,0.842067108903827,,0.946748700228104
CPD035,0.846645503471327,,0.946748700228104
CPD036,0.425381918106171,,0.816478439585605
CPD039,0.945721440733291,,0.977797733813846
CPD040,0.981148708786117,,0.984773642439268
CPD041,0.994059202485374,,0.99528040543683
CPD812,0.0916786117791727,,0.508286180952556
CPD044,0.697827345492015,,0.904180105844185
CPD046,0.222754349970969,,0.663129155994468
CPD048,0.416738658032815,,0.809010417863133
CPD049,0.0442704529823271,,0.407725066262902
CPD050,0.546749100672378,,0.862446015307597
CPD051,0.709116627969538,,0.91156159589144
CPD052,7.24440957767242e-05,,0.0147604845145075
CPD053,0.361452067699835,,0.77318486922668
CPD054,0.705065169613673,,0.910280743951801
CPD056,0.474556916444302,,0.837151270350879
CPD057,0.612137286158996,,0.875692733632366
CPD058,0.130753551124326,,0.558087566597644
CPD059,0.808377880655591,,0.946748700228104
CPD060,0.821583690186776,,0.946748700228104
CPD061,0.847941484334708,,0.946748700228104
CPD062,0.840937934439844,,0.946748700228104
CPD063,0.236823695143528,,0.677232672077106
CPD064,0.656930130977634,,0.884284297271814
CPD065,9.96147432509505e-10,,4.05930078747623e-07
CPD066,0.412744782890523,,0.809010417863133
CPD067,0.457917190082227,,0.827256042273191
CPD068,0.531851197472332,,0.862446015307597
CPD069,0.72919505664986,,0.92268080740386
CPD070,0.822916599021839,,0.946748700228104
CPD071,0.443760057279889,,0.818255192642847
CPD072,0.0330367183784972,,0.358999006379669
CPD073,0.412177803322495,,0.809010417863133
CPD074,0.965013664738989,,0.982070407393045
CPD075,0.570781570264158,,0.863055621085879
CPD076,0.442487957202616,,0.818255192642847
CPD077,0.117655025879829,,0.554270786659309
CPD078,0.115399832046048,,0.546807343706564
CPD080,0.0604985315629807,,0.449120235334775
CPD081,0.527992712353773,,0.862446015307597
CPD082,0.0238739537788391,,0.313961293320478
CPD083,0.971291448769917,,0.982070407393045
CPD086,0.543272203572685,,0.862446015307597
CPD087,0.550086684350281,,0.862446015307597
CPD088,0.944503884749984,,0.977797733813846
CPD089,0.391306226449391,,0.803311270922554
CPD090,0.771853401388422,,0.935113908168415
CPD092,0.624286971908609,,0.881791823406441
CPD093,0.359397599488656,,0.77318486922668
CPD094,0.813006760349457,,0.946748700228104
CPD095,0.940370195740969,,0.977797733813846
CPD096,0.662878255757755,,0.885716026329257
CPD097,0.706963682049523,,0.910280743951801
CPD098,0.336985863819866,,0.75593579631858
CPD099,0.440781135022817,,0.818255192642847
CPD100,0.707003326284037,,0.910280743951801
CPD101,0.306824174942582,,0.733381778532018
CPD102,0.616355355935984,,0.876521367705342
CPD103,0.846414560212954,,0.946748700228104
CPD105,0.412259970881859,,0.809010417863133
CPD106,0.652033097823398,,0.884284297271814
CPD107,0.936480068828854,,0.977797733813846
CPD108,0.908437482321367,,0.967812481165901
CPD109,0.76662314630581,,0.935113908168415
CPD110,0.716728514470893,,0.915570124284918
CPD111,0.917357175164184,,0.972231596565423
CPD112,0.865276028594808,,0.954262467259498
CPD115,0.132015556043275,,0.558087566597644
CPD116,0.839924478026421,,0.946748700228104
CPD117,0.411852816986425,,0.809010417863133
CPD118,0.735032419337445,,0.925568388719445
CPD119,0.411201440347885,,0.809010417863133
CPD120,0.566948813933297,,0.863055621085879
CPD121,0.00371863995346381,,0.201022142731273
CPD122,0.464802085530591,,0.829213601563953
CPD123,0.546668833636474,,0.862446015307597
CPD124,0.855319906000002,,0.950680643311054
CPD125,0.658446920890921,,0.884284297271814
CPD126,0.252022688228223,,0.686951474602013
CPD127,0.434328727402412,,0.818255192642847
CPD128,0.749562346265312,,0.928409289067218
CPD129,0.051760964092596,,0.437228769373216
CPD132,0.131602162357055,,0.558087566597644
CPD135,0.0847572771520715,,0.500559281731437
CPD136,0.0948148737574495,,0.511749153061731
CPD817,0.0709584474114463,,0.474699391870164
CPD138,0.0305241341377456,,0.350382666510742
CPD139,0.0195891091166925,,0.313961293320478
CPD140,0.62900526380734,,0.882339569712534
CPD141,0.930298551700736,,0.975733822375022
CPD142,0.902276691001209,,0.967573030481559
CPD143,0.251010704397903,,0.686951474602013
CPD144,0.533104733237979,,0.862446015307597
CPD145,0.386414624364264,,0.798264826535524
CPD146,0.934145497858702,,0.977315251289913
CPD147,0.368149990422965,,0.779330499207056
CPD149,0.468570358927207,,0.833809699837716
CPD150,0.952643154782394,,0.981547624712581
CPD151,0.157209432121375,,0.601529047788359
CPD152,0.844379944432918,,0.946748700228104
CPD153,0.840405463236413,,0.946748700228104
CPD154,0.608959504240888,,0.875220285705423
CPD155,0.247204683242959,,0.684715975707071
CPD156,0.398959819522113,,0.808836450026175
CPD157,0.433044168718937,,0.818255192642847
CPD158,0.580150661367524,,0.865924535849664
CPD159,0.264403611126179,,0.698631872844813
CPD160,0.613726300446965,,0.875692733632366
CPD161,,,
CPD162,0.122394082867108,,0.554955300787201
CPD163,0.827968759233556,,0.946748700228104
CPD164,,,
CPD165,0.280147550112732,,0.709386382385047
CPD166,0.547891047327049,,0.862446015307597
CPD167,0.0908174445736619,,0.506960392654346
CPD168,0.108321489633559,,0.529803515999046
CPD169,0.317647215606579,,0.738911613333485
CPD170,0.627889327394299,,0.882339569712534
CPD171,0.12361397130501,,0.554955300787201
CPD172,0.0963651922077055,,0.51595886394452
CPD173,0.39437959275422,,0.805562326051853
CPD175,0.907783508299535,,0.967812481165901
CPD177,0.0699187207825575,,0.474699391870164
CPD178,0.832213065769344,,0.946748700228104
CPD179,0.175018121468295,,0.616428750824256
CPD180,0.204833083754594,,0.631566575112233
CPD181,0.458770660794022,,0.827256042273191
CPD182,0.861446890371586,,0.952617660315933
CPD183,0.41394337644058,,0.809010417863133
CPD184,0.515468966350433,,0.855615494043999
CPD185,0.176986905144633,,0.616428750824256
CPD186,0.548291023136676,,0.862446015307597
CPD187,0.161537425021886,,0.602681143643217
CPD188,0.911696197671952,,0.969277273958953
CPD189,0.112169933037395,,0.534611084359513
CPD190,0.0402626068615145,,0.386047348142756
CPD191,0.426772779464377,,0.816478439585605
CPD192,0.0571408256864459,,0.444556626810909
CPD193,0.0586019418082078,,0.444556626810909
CPD194,0.439835548363377,,0.818255192642847
CPD195,0.0556415592620754,,0.444556626810909
CPD196,0.199575783960386,,0.62653941638901
CPD197,0.0861737483126575,,0.500832707675082
CPD198,0.130652699114433,,0.558087566597644
CPD199,0.183959408187665,,0.620365244060403
CPD200,0.831032431714897,,0.946748700228104
CPD201,0.593369098689552,,0.872321691773696
CPD202,0.892118362040718,,0.961741355903684
CPD203,0.175214837712705,,0.616428750824256
CPD204,0.972430452473849,,0.982070407393045
CPD205,0.27960362476404,,0.709386382385047
CPD206,0.308650245443537,,0.733381778532018
CPD207,0.455929337164644,,0.827256042273191
CPD209,0.225202378380928,,0.663129155994468
CPD210,0.570377773213329,,0.863055621085879
