label,p_value,fold_change,adjusted_p_value
CPD037,0.29659687734708,,0.78612692326171
CPD047,0.405563630964481,,0.842304851449845
CPD079,0.757664009177461,,0.953759751210514
CPD589,0.657310945705851,,0.929105258187011
CPD590,0.0630349124939022,,0.584752933862791
CPD668,0.615905155530986,,0.909457073185143
CPD669,0.18358799390721,,0.718545778266645
CPD765,0.73640832483574,,0.950615148883872
CPD784,0.927156061335523,,0.994247289574704
CPD819,0.839790489196363,,0.990441091758914
CPD842,0.106161697994738,,0.643931281278211
CPD926,0.122701661307669,,0.684923774070504
CPD928,0.530719978231531,,0.876639844596707
CPD130,0.919882874834313,,0.994247289574704
CPD133,0.513329461957723,,0.876639844596707
CPD134,,,
CPD248,0.806033608629887,,0.983289142177024
CPD391,0.949278268793934,,0.994247289574704
CPD749,0.561144111798567,,0.884252361535511
CPD761,0.0809336607152828,,0.584752933862791
CPD762,0.966923349220172,,0.994247289574704
CPD825,0.367665266111111,,0.813620440639413
CPD852,0.660665565710468,,0.929105258187011
CPD001,0.719446407573848,,0.942749474294588
CPD002,0.413310165127285,,0.842304851449845
CPD003,0.445788735988747,,0.858085025552534
CPD004,0.9666534683774,,0.994247289574704
CPD005,0.680281108372357,,0.933011298873537
CPD006,0.375114429613645,,0.81780414976734
CPD007,0.0582130447756497,,0.584752933862791
CPD008,0.934947284121732,,0.994247289574704
CPD010,0.239935146566862,,0.735887902150515
CPD011,0.976989136874952,,0.994247289574704
CPD847,0.194637772315379,,0.718545778266645
CPD013,0.205680465761556,,0.725255158320917
CPD014,0.954467731773706,,0.994247289574704
CPD015,0.73563729670289,,0.950615148883872
CPD016,0.334913777102019,,0.797391197702095
CPD017,0.433960877891425,,0.858085025552534
CPD018,0.299288281911868,,0.78612692326171
CPD838,0.32692816708415,,0.797391197702095
CPD019,0.50901700943984,,0.876639844596707
CPD020,0.680811790648347,,0.933011298873537
CPD834,0.753380137906197,,0.953759751210514
CPD022,0.828209647216818,,0.989990075392786
CPD023,0.332952925454906,,0.797391197702095
CPD024,0.983831188446216,,0.994247289574704
CPD025,0.979983948819901,,0.994247289574704
CPD026,0.934156063511224,,0.994247289574704
CPD027,0.351886254805769,,0.804731518650519
CPD028,0.74625234762902,,0.953759751210514
CPD829,0.988192190369011,,0.994247289574704
CPD030,0.450468509151209,,0.858085025552534
CPD031,0.587815090489978,,0.892044712185346
CPD032,0.552583524782315,,0.88228425245941
CPD033,0.0856231480422603,,0.59357651247675
CPD035,0.0659893020892319,,0.584752933862791
CPD036,0.858046373775061,,0.990441091758914
CPD039,0.96965066052265,,0.994247289574704
CPD040,0.523199827283962,,0.876639844596707
CPD041,0.883385849130523,,0.993506550871452
CPD812,0.584695145153399,,0.89060243816501
CPD044,0.920227314679536,,0.994247289574704
CPD046,0.231164768021997,,0.73133710782853
CPD048,0.485950337165079,,0.876639844596707
CPD049,0.900659384334364,,0.994247289574704
CPD050,0.215582292508912,,0.728320703267823
CPD051,0.520103931477189,,0.876639844596707
CPD052,0.265429085083638,,0.761735275743544
CPD053,0.353900431393122,,0.807089594927092
CPD054,0.961534261745572,,0.994247289574704
CPD056,0.779806813889855,,0.962738938651986
CPD057,0.0657877153803042,,0.584752933862791
CPD058,0.37437492728409,,0.81780414976734
CPD059,0.849011337123397,,0.990441091758914
CPD060,0.315567910217252,,0.793402379085533
CPD061,0.542184954424742,,0.876639844596707
CPD062,0.343342536132012,,0.804394662484585
CPD063,0.610813135701301,,0.908330885746247
CPD064,0.000150599977051959,,0.123642581159658
CPD065,0.880884168942499,,0.993409970888369
CPD066,0.623171610987281,,0.916888696452613
CPD067,0.873568332368676,,0.992953574462366
CPD068,0.672104541511711,,0.93116474537535
CPD069,0.48770021159547,,0.876639844596707
CPD070,0.736189950796872,,0.950615148883872
CPD071,0.508753683594883,,0.876639844596707
CPD072,0.447784820566351,,0.858085025552534
CPD073,0.991915566623427,,0.994952913229611
CPD074,0.875533400477656,,0.992953574462366
CPD075,0.0902382144139692,,0.597464306724748
CPD076,0.0867874439713586,,0.59357651247675
CPD077,0.313249620312895,,0.793155619578303
CPD078,0.816039545065513,,0.984784745051399
CPD080,0.498801609627177,,0.876639844596707
CPD081,0.544649665384439,,0.878412166283015
CPD082,0.248788550087231,,0.75093896919712
CPD083,0.985617133872996,,0.994247289574704
CPD086,0.749504599239648,,0.953759751210514
CPD087,0.75316209644198,,0.953759751210514
CPD088,0.387521140535644,,0.826376250337049
CPD089,0.857317296950391,,0.990441091758914
CPD090,0.90845041891168,,0.994247289574704
CPD092,0.791112895228853,,0.970861907902066
CPD093,0.961749127277559,,0.994247289574704
CPD094,0.920636423171966,,0.994247289574704
CPD095,0.889465098319614,,0.994247289574704
CPD096,0.362480578044278,,0.809687160663139
CPD097,0.705480274051099,,0.937215703876945
CPD098,0.505304222438216,,0.876639844596707
CPD099,0.685276687909978,,0.93452567171269
CPD100,0.636872810169759,,0.92609821492677
CPD101,0.810995942143749,,0.984784745051399
CPD102,0.554517264639532,,0.88228425245941
CPD103,0.970138387699435,,0.994247289574704
CPD105,0.654094978783884,,0.929105258187011
CPD106,0.119781797172866,,0.682922607492522
CPD107,0.667996385915431,,0.93116474537535
CPD108,0.326370134351324,,0.797391197702095
CPD109,0.841564580003901,,0.990441091758914
CPD110,0.540160880094238,,0.876639844596707
CPD111,0.968010543532257,,0.994247289574704
CPD112,0.975884868257772,,0.994247289574704
CPD115,0.344632691197538,,0.804394662484585
CPD116,0.341306058935815,,0.804394662484585
CPD117,0.999908696215388,,0.999908696215388
CPD118,0.921583949642292,,0.994247289574704
CPD119,0.917425904044176,,0.994247289574704
CPD120,0.867429708166257,,0.992953574462366
CPD121,0.345904574227522,,0.80445249688094
CPD122,0.537396378823053,,0.876639844596707
CPD123,0.724166891538055,,0.946721366166788
CPD124,0.410668064520166,,0.842304851449845
CPD125,0.674286203182762,,0.93116474537535
CPD126,0.0927707105791887,,0.609318027084111
CPD127,0.182924238943986,,0.718545778266645
CPD128,0.582865424100875,,0.89060243816501
CPD129,0.714098549245361,,0.942749474294588
CPD132,0.700887623837936,,0.936243026375281
CPD135,0.798139951866109,,0.976561699675224
CPD136,0.374673517512143,,0.81780414976734
CPD817,0.82858228915511,,0.989990075392786
CPD138,0.738066255121922,,0.951259647496229
CPD139,0.441329729924837,,0.858085025552534
CPD140,0.527556373624325,,0.876639844596707
CPD141,0.324598414254981,,0.797391197702095
CPD142,0.346865023015655,,0.80445249688094
CPD143,0.563983272009231,,0.884669906890183
CPD144,0.944474250221838,,0.994247289574704
CPD145,0.690934327319857,,0.93452567171269
CPD146,0.0726036687652281,,0.584752933862791
CPD147,0.700856632089888,,0.936243026375281
CPD149,0.631725255190323,,0.925985923630446
CPD150,0.958195130757093,,0.994247289574704
CPD151,0.318746312376148,,0.793402379085533
CPD152,0.294173241737398,,0.78612692326171
CPD153,0.21057450235404,,0.725255158320917
CPD154,0.447044104496739,,0.858085025552534
CPD155,0.533808069302036,,0.876639844596707
CPD156,0.341968567417282,,0.804394662484585
CPD157,0.310447473849282,,0.793155619578303
CPD158,0.916889617693874,,0.994247289574704
CPD159,0.581595297751984,,0.89060243816501
CPD160,0.669931473309091,,0.93116474537535
CPD161,,,
CPD162,0.253644045077511,,0.757242767304134
CPD163,0.496288565057544,,0.876639844596707
CPD164,,,
CPD165,0.501403022032502,,0.876639844596707
CPD166,0.488435309054046,,0.876639844596707
CPD167,0.454199665808249,,0.862560314074391
CPD168,0.418022149628879,,0.846694348097297
CPD169,0.744244923328036,,0.953759751210514
CPD170,0.511947185856533,,0.876639844596707
CPD171,0.358144973117861,,0.809687160663139
CPD172,0.159243880760472,,0.718545778266645
CPD173,0.839391614002121,,0.990441091758914
CPD175,0.770171780492866,,0.956597627510807
CPD177,0.878955059331886,,0.993409970888369
CPD178,0.746163811896479,,0.953759751210514
CPD179,0.231604930615612,,0.73133710782853
CPD180,0.28269137554634,,0.773632064411817
CPD181,0.0874820438607634,,0.59357651247675
CPD182,0.308417129925939,,0.793155619578303
CPD183,0.161723026536546,,0.718545778266645
CPD184,0.0874307403143016,,0.59357651247675
CPD185,0.106413081955944,,0.643931281278211
CPD186,0.12299506352446,,0.684923774070504
CPD187,0.702467362055022,,0.936243026375281
CPD188,0.0661151648358713,,0.584752933862791
CPD189,0.994146063067828,,0.995358436315471
CPD190,0.760600779128426,,0.953759751210514
CPD191,0.808862928167562,,0.984784745051399
CPD192,0.578599869674494,,0.89047677620884
CPD193,0.853752561309955,,0.990441091758914
CPD194,0.947677818578491,,0.994247289574704
CPD195,0.608334963606817,,0.908078191129448
CPD196,0.934747845740053,,0.994247289574704
CPD197,0.696108570899507,,0.936243026375281
CPD198,0.523497125008934,,0.876639844596707
CPD199,0.422899983927525,,0.850466659779288
CPD200,0.524798744736812,,0.876639844596707
CPD201,0.837079545723883,,0.990441091758914
CPD202,0.979848493649262,,0.994247289574704
CPD203,0.762137725151829,,0.953759751210514
CPD204,0.408221651829614,,0.842304851449845
CPD205,0.874159044226076,,0.992953574462366
CPD206,0.459428597406632,,0.867105467749069
CPD207,0.350651638289481,,0.804731518650519
CPD209,0.896989202186019,,0.994247289574704
CPD210,0.275294736085646,,0.76874015776602
CPD211,0.486407062919724,,0.876639844596707
CPD212,0.47129946393527,,0.875294495718072
CPD213,0.659096662578368,,0.929105258187011
CPD214,0.395102587700431,,0.836028929129005
CPD215,0.963843633609571,,0.994247289574704
CPD216,0.217184783615762,,0.728320703267823
CPD217,0.19606354477332,,0.718607902941498
CPD218,0.0663611840987437,,0.584752933862791
CPD219,0.38946644256535,,0.828092763650516
CPD221,0.238534728863013,,0.735887902150515
CPD222,0.67422879469616,,0.93116474537535
CPD224,0.193914244713796,,0.718545778266645
CPD225,0.375532478029582,,0.81780414976734
CPD227,0.227863969584912,,0.73133710782853
CPD229,0.637337020128141,,0.92609821492677
CPD232,0.204438137519581,,0.725255158320917
CPD234,0.484431042360622,,0.876639844596707
CPD236,0.311683059666925,,0.793155619578303
CPD237,0.54587404587318,,0.878412166283015
CPD238,0.520686013321663,,0.876639844596707
CPD239,0.510119349682859,,0.876639844596707
CPD240,0.408599878168916,,0.842304851449845
CPD242,0.551593183889295,,0.88228425245941
