label,p_value,fold_change,adjusted_p_value
CPD037,0.65841162142403,,0.999499568592227
CPD047,0.852107894508558,,0.999499568592227
CPD079,0.0179108432863847,,0.604490960915485
CPD589,,,
CPD590,0.666553226890169,,0.999499568592227
CPD668,0.675801708470411,,0.999499568592227
CPD669,0.593382256575253,,0.999499568592227
CPD765,0.595489086253205,,0.999499568592227
CPD784,0.787072359876745,,0.999499568592227
CPD819,0.535576698403176,,0.999499568592227
CPD842,0.115713733801311,,0.999499568592227
CPD926,0.163324254095451,,0.999499568592227
CPD928,,,
CPD130,0.869305057282117,,0.999499568592227
CPD133,0.542432311882898,,0.999499568592227
CPD134,0.387730399484903,,0.999499568592227
CPD248,0.666609497114927,,0.999499568592227
CPD391,0.325229632195157,,0.999499568592227
CPD749,0.146887747411358,,0.999499568592227
CPD761,0.0126359679850268,,0.559017555517124
CPD762,0.551088299035919,,0.999499568592227
CPD825,0.683874230777834,,0.999499568592227
CPD852,0.0850231998729962,,0.999499568592227
CPD001,0.698982809944151,,0.999499568592227
CPD002,0.798307541630655,,0.999499568592227
CPD003,0.480379273862502,,0.999499568592227
CPD004,0.664857457699926,,0.999499568592227
CPD005,0.657165624123225,,0.999499568592227
CPD006,0.827203439514118,,0.999499568592227
CPD007,0.86521782589027,,0.999499568592227
CPD008,0.632794770950659,,0.999499568592227
CPD010,0.245852885047595,,0.999499568592227
CPD011,0.169818264414375,,0.999499568592227
CPD847,0.201427040780756,,0.999499568592227
CPD013,0.669544805863751,,0.999499568592227
CPD014,0.869484864386344,,0.999499568592227
CPD015,0.732080530161151,,0.999499568592227
CPD016,0.427073481524042,,0.999499568592227
CPD017,0.989242704130656,,0.999499568592227
CPD018,0.0370995402706736,,0.929209810633599
CPD838,0.503172264205368,,0.999499568592227
CPD019,0.95975186258031,,0.999499568592227
CPD020,0.0730670964810196,,0.999499568592227
CPD834,0.261329978246123,,0.999499568592227
CPD022,0.563624369904674,,0.999499568592227
CPD023,0.839485328402346,,0.999499568592227
CPD024,0.649744118169842,,0.999499568592227
CPD025,0.0171427704597516,,0.603723655321687
CPD026,0.864074743487646,,0.999499568592227
CPD027,0.804746291151919,,0.999499568592227
CPD028,0.71392417275402,,0.999499568592227
CPD829,0.586229825230213,,0.999499568592227
CPD030,0.477103050485393,,0.999499568592227
CPD031,0.767404916402358,,0.999499568592227
CPD032,0.197605431351683,,0.999499568592227
CPD033,0.431188017341162,,0.999499568592227
CPD035,0.828234180403589,,0.999499568592227
CPD036,0.613171499193008,,0.999499568592227
CPD039,0.648096746124677,,0.999499568592227
CPD040,0.302295202210579,,0.999499568592227
CPD041,0.906572575861389,,0.999499568592227
CPD812,0.535017196027281,,0.999499568592227
CPD044,0.841494687272099,,0.999499568592227
CPD046,0.368198194713604,,0.999499568592227
CPD048,0.68624756916414,,0.999499568592227
CPD049,0.172180533165321,,0.999499568592227
CPD050,0.346273003248403,,0.999499568592227
CPD051,0.923977436172612,,0.999499568592227
CPD052,0.632571655617621,,0.999499568592227
CPD053,0.893194616032384,,0.999499568592227
CPD054,0.540099759180026,,0.999499568592227
CPD056,0.725037621583813,,0.999499568592227
CPD057,0.328234840258462,,0.999499568592227
CPD058,0.826840686466228,,0.999499568592227
CPD059,0.790893086889684,,0.999499568592227
CPD060,0.662064967664906,,0.999499568592227
CPD061,0.827231395378769,,0.999499568592227
CPD062,0.683198321171664,,0.999499568592227
CPD063,0.898670671049872,,0.999499568592227
CPD064,0.461875994946272,,0.999499568592227
CPD065,0.0537724673369544,,0.999499568592227
CPD066,0.850748992515192,,0.999499568592227
CPD067,0.520254353942296,,0.999499568592227
CPD068,0.767401044558645,,0.999499568592227
CPD069,0.713398268925199,,0.999499568592227
CPD070,0.402115843264487,,0.999499568592227
CPD071,0.663408009081003,,0.999499568592227
CPD072,0.767981405101195,,0.999499568592227
CPD073,0.426414383879565,,0.999499568592227
CPD074,0.270596696887995,,0.999499568592227
CPD075,0.486334082195645,,0.999499568592227
CPD076,0.240230065829791,,0.999499568592227
CPD077,0.543242651107156,,0.999499568592227
CPD078,0.444992432580475,,0.999499568592227
CPD080,0.132562753104136,,0.999499568592227
CPD081,0.639083952364355,,0.999499568592227
CPD082,0.674936348786005,,0.999499568592227
CPD083,0.940754285945615,,0.999499568592227
CPD086,0.957511103819277,,0.999499568592227
CPD087,0.397800986625689,,0.999499568592227
CPD088,0.936469582479604,,0.999499568592227
CPD089,0.241997485634056,,0.999499568592227
CPD090,0.924994584892168,,0.999499568592227
CPD092,0.190918901968805,,0.999499568592227
CPD093,0.615002428350875,,0.999499568592227
CPD094,0.965269128414966,,0.999499568592227
CPD095,0.989156313887849,,0.999499568592227
CPD096,0.929891812255485,,0.999499568592227
CPD097,0.706820947516398,,0.999499568592227
CPD098,0.547647135281291,,0.999499568592227
