label,p_value,fold_change,adjusted_p_value
CPD037,0.61060786908295,,0.870622389250908
CPD047,0.166652030822903,,0.525511495915878
CPD079,0.159957355076252,,0.517927937938661
CPD589,0.554131774218063,,0.846476954330826
CPD590,0.0327638372159036,,0.241153648697237
CPD668,0.0369485721405279,,0.254631482700728
CPD669,0.167237440560744,,0.525511495915878
CPD765,0.00525892428603534,,0.107413528542272
CPD784,0.583894715320719,,0.856448801466835
CPD819,0.522632110589885,,0.827500841767318
CPD842,0.0123990727951274,,0.14897121284734
CPD926,0.139549438983946,,0.489321423390061
CPD928,0.688058285323613,,0.886365660071609
CPD130,0.583690330012121,,0.856448801466835
CPD133,0.433044354556786,,0.779250347817157
CPD134,0.759364141916383,,0.917840597808842
CPD248,0.735439718782865,,0.900830959888457
CPD391,0.00664067387323399,,0.115823894985624
CPD749,0.00137970463115049,,0.0761672475970177
CPD761,0.716629061279056,,0.889145702137495
CPD762,0.777323574535122,,0.921732017990123
CPD825,0.189139999132793,,0.561917742878153
CPD852,0.841025270201539,,0.945763759592668
CPD001,0.0313270673279265,,0.239198261746878
CPD002,0.113577705869753,,0.454867576939156
CPD003,0.886555660845838,,0.946646222630478
CPD004,0.159741208680241,,0.517927937938661
CPD005,0.334587082505946,,0.706350507512553
CPD006,0.699015925806322,,0.886365660071609
CPD007,0.308414794656269,,0.688884005656649
CPD008,0.570554646834092,,0.853161045285088
CPD010,0.831424391059318,,0.941157287848292
CPD011,0.60397377435349,,0.865695743240003
CPD847,0.866903508547262,,0.946553256931687
CPD013,0.99736998000446,,0.99736998000446
CPD014,0.1759461836352,,0.536658529773475
CPD015,0.624211080174152,,0.879276642245315
CPD016,0.763691423796703,,0.917840597808842
CPD017,0.175437394146795,,0.536658529773475
CPD018,0.151550755290281,,0.503572849114183
CPD838,0.706687585631427,,0.886365660071609
CPD019,0.0430255223900336,,0.278482651094985
CPD020,0.296676236170794,,0.674655023370496
CPD834,0.846798931415462,,0.946553256931687
CPD022,0.220797518828422,,0.60255900090649
CPD023,0.95434615317521,,0.976711197873139
CPD024,0.676312458521701,,0.886365660071609
CPD025,0.46867966369268,,0.802558076508933
CPD026,0.20102990324579,,0.578314897717642
CPD027,0.893346680107832,,0.946646222630478
CPD028,0.499915688023324,,0.819870814359351
CPD829,0.711538198619626,,0.886365660071609
CPD030,0.881410818687672,,0.946646222630478
CPD031,0.718174250942401,,0.889145702137495
CPD032,0.174108461061461,,0.536658529773475
CPD033,0.377177969413599,,0.737211485672034
CPD035,0.595239818721262,,0.859917677215845
CPD036,0.872106348759583,,0.946553256931687
CPD039,0.672933279528717,,0.886365660071609
CPD040,0.880774544065648,,0.946646222630478
CPD041,0.00655035256674912,,0.115823894985624
CPD812,0.652337658711805,,0.884326998599187
CPD044,0.701073375607068,,0.886365660071609
CPD046,0.762348310194876,,0.917840597808842
CPD048,0.631126637007836,,0.879829140348696
CPD049,0.827699737225864,,0.940515556764298
CPD050,0.0487364151749959,,0.29277684704391
CPD051,0.21591592119498,,0.60255900090649
CPD052,0.623132323505912,,0.879276642245315
CPD053,0.325573766119748,,0.701648986615717
CPD054,0.0759733622047476,,0.385529421871297
CPD056,0.510072203076059,,0.819870814359351
CPD057,0.322173818524361,,0.701648986615717
CPD058,0.807493687207548,,0.933396922100306
CPD059,0.338442801169221,,0.707180993747452
CPD060,0.442586815537922,,0.779250347817157
CPD061,0.327115969852319,,0.701648986615717
CPD062,0.431190285552664,,0.779250347817157
CPD063,0.346969648081959,,0.711038317747562
CPD064,0.864070208352102,,0.946553256931687
CPD065,0.145753061987015,,0.495142413391849
CPD066,0.652513396160184,,0.884326998599187
CPD067,0.475261782120836,,0.807253380442252
CPD068,0.0106148673253033,,0.139876558141496
CPD069,0.00177959770897936,,0.0765227014861125
CPD070,0.693506078752019,,0.886365660071609
CPD071,0.0232214450711114,,0.202487117034222
CPD072,0.676747474819938,,0.886365660071609
CPD073,0.974301431251511,,0.990055061358812
CPD074,0.915254488850073,,0.961134855257725
CPD075,0.230323298638789,,0.614948153555197
CPD076,0.175354099246321,,0.536658529773475
CPD077,0.510930148574696,,0.819870814359351
CPD078,0.0230861683407685,,0.202487117034222
CPD080,0.680671744859639,,0.886365660071609
CPD081,0.50686582487863,,0.819870814359351
CPD082,0.0844673573425262,,0.398900756929734
CPD083,0.354010722179776,,0.716793573816949
CPD086,0.0522618772389488,,0.30498538360158
CPD087,0.841579257311958,,0.945763759592668
