,Click-ABR,6kHz-ABR,12kHz-ABR,18kHz-ABR,24kHz-ABR,30kHz-ABR,RA-S,PPI1,PPI2,PPI3,PPI4,PPI-G,TFI,RER,Na,K,Cl ,BUN,Cr,TP,Alb,T Bil,Ca,P ,AST,ALT,AP,TC,HDL-C,TG   ,Glu,Tail-p,Tail-l,Tail-t,Tail-m,Coat - color-c,Coat-c-c,Coat-c-h,Coat-cp-b,Coat-cp-h,Coat-cp-a,Coat-hd-b,Coat-hd-h,Coat-hd-a,Coat-ht-b,Coat-ht-h,Coat-ht-a,FL-pos,FL-sh,FL-s,HL-pos,HL-sh,HL-s,Vib-pre,Vib-app,Head-s,Head-mor,Ears,Snout-s,Acti.,Tremor,Loco acti.,Gait,SR,U-bhvior,Tr curl,L-Gsp,FP-s,HP-s,FP-sh,HP-sh,FLD-n,HLD-n,FLD-s,HLD-s,FLD-sh,HLD-sh,FLN-n,HLN-n,FLN-l,HLN-l,FLN-sh,HLN-sh,SC-wb,SC-snt,SC-ear,SC-fp,SC-bp,SC-tail,ST-wb,ST-snt,ST-ear,ST-fp,ST-bp,ST-tail,Tee-pre,UTee-app,Ltee-app,Geni-p,Geni-s,Geni-mor,Mou-mor,Ulip-mor,Llip-mor,Cont. r,Voca.,Aggre.,Head-b,Fat mass,Lean mass,BMD,BMC ,Body-l,BMC/BW,Lean/BW,Fat/BW,Bone A,BW ,HR,CV,RR,PQ,PR,QRS,ST,QTc,HRV,QTc Dis.,Rmssd,Eye,BE,Eye bleed,Eye-mor,EL-clo,NEO,Cornea,C-opac.,C-Vasc.,Iris,Pupil-pos,Pupil-sh,Pupil-dil,PLR,Iris PC,Lens,Lens-Opac.,FBCL,Syn.,Optic Disc,RBV,RBVS,RBVP,POHVS,RC,FHGSMM,FAHGSMM,WBCC,RBCC,Hb,HCT,MCV,MCH,MCHC,PLT Ct,MPLTV,RDW,NEU-DIFF,NCC,L-DIFF,LCC,M-DIFF,MCC,Eosi-DIFF,ECC,Baso-DIFF,Heart Weight,FBG,IRGC,AUC,WART,WAAS,PDT,PRT,PPT,PAS,CDT,CRT,CPT,CAS,LTCE,NOCE,TDT,TNOR,PCT,SSH,ZGB,Maxilla,MDB,Teeth,Scap.,Clav.,NOR-R,NOR-L,SOR,FOR,Pelvis,NOCV,NOTV,NOLV,NOPV,SOV,FOV,POV,Humerus,Radius,Ulna,Femur,Tibia,Fibula,Joints,NOD,Synd.,Brach,DI,TL,BCC
CPD037,0.056343617,-0.013746435,0.195615199,0.221697226,-0.280945194,0.228932279,0.130827068,-0.103759398,-0.145864662,-0.285714286,-0.267669173,-0.204511278,0.9,0.210784314,0.138718227,0.123956343,0.170175439,-0.086002641,0.223942208,-0.097411155,-0.140474154,-0.134194142,0.351031188,0.398245614,-0.070175439,0.166666667,-0.098245614,-0.305397133,-0.433333333,0.100921466,-0.221052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.19728938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.363157895,0.070175439,0.118473026,0.114035088,0.001768403,0.228070175,0.303508772,-0.384210526,0.007017544,0.045112782,0.015495876,0.279669763,0.001031992,-0.11697779,-0.114610237,-0.099431,-0.047520687,-0.228277125,0.244582043,0.384932921,0.236326109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56111324,0.243609023,0.217750258,-0.299586937,-0.702479714,-0.169421578,0.188854489,-0.504143218,-0.105426483,0.083591331,0.196462737,-0.242237193,0.48951049,NA,-0.37254902,NA,0.282911757,NA,-0.041108149,NA,NA,0.308968162,0.027830013,-0.182536218,-0.40193071,-0.173684211,-0.082706767,0.246616541,-0.10075188,-0.078195489,-0.168421053,0.156508697,0.255639098,0.132330827,0.168421053,0.240782611,-0.163909774,0.198870409,0.228571429,0.360902256,0.168421053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120930378
CPD047,-0.394405319,-0.398646614,-0.573804584,-0.065205066,0.166013069,0.31327575,0.163909774,0.466165414,0.353383459,0.192481203,0.181954887,0.383458647,0.9,0.397058824,0.238806062,-0.29274796,0.263157895,0.517771002,-0.374613003,0.1035542,-0.35996502,-0.278229187,-0.325581427,-0.021052632,0.024561404,-0.321052632,-0.035087719,-0.305397133,-0.149122807,0.021939449,-0.503508772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349397987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.256140351,-0.014035088,0.098288733,0.047368421,0.00707361,0.11754386,0.145614035,-0.231578947,-0.028070175,-0.138345865,-0.05165292,-0.114551084,0.031991744,-0.204969933,-0.176561717,0.152253719,0.338843156,0.590575015,-0.147574819,-0.335397317,-0.050567595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063933814,-0.064661654,0.232198142,-0.294421645,-0.196281096,-0.308884462,-0.273477812,0.026915244,0.134367087,0.275541796,0.102456373,0.251554008,0.076923077,NA,0.102167183,NA,-0.16623647,NA,-0.055406635,NA,NA,0.201381034,0.26852202,-0.304519555,0.179025906,0.396491228,-0.129323308,-0.060150376,0.139849624,-0.221052632,-0.242105263,-0.012039131,0.097744361,0.320300752,0.242105263,-0.099322827,0.24962406,0.077589591,0.006015038,-0.186466165,0.242105263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.019638266
CPD079,-0.394405319,-0.481125224,-0.169533173,0.130410133,0.140472597,0.385570154,0.007518797,0,-0.076691729,0.013533835,0.036090226,-0.079699248,0.5,0.362745098,-0.021949087,-0.027252813,-0.08245614,0.064063192,-0.145510836,0.17727075,-0.116769141,-0.088568133,-0.130759117,0.068421053,0.01754386,-0.143859649,0.447368421,-0.16849497,-0.115789474,0.27643706,-0.464912281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104668793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.526315789,0.136842105,0.271171593,0.28245614,-0.062778292,0.515789474,0.538596491,-0.487719298,0.305263158,-0.003007519,-0.357438207,0.104231166,0.353973168,-0.025880042,-0.021683018,0.246506022,0.347107623,0.293078374,0.054695562,0.124871001,0.259029928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016547575,-0.2,0.122807018,-0.320248105,-0.427686179,-0.292355528,-0.087719298,-0.131470613,0.10439289,0.079463364,0.061262574,0.153209849,0.230769231,NA,-0.401444788,NA,0.373773927,NA,0.271671243,NA,NA,0.322761384,0.266265532,-0.315928069,-0.261518235,0.180701754,-0.097744361,0.046616541,0.160902256,-0.118796992,-0.138345865,0.024078261,0.115789474,0.171428571,0.138345865,0.215199459,-0.009022556,0.167231935,0.046616541,-0.004511278,0.138345865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072351508
CPD590,0.281718085,0.343660875,0.182574186,0.07824608,0.280945194,0.096392539,-0.033082707,-0.019548872,-0.097744361,-0.018045113,-0.061654135,-0.073684211,-0.3,0.272058824,0.410008938,-0.320879896,-0.394736842,0.245721831,0.102167183,0.499341865,0.474100271,-0.393636148,-0.260640657,-0.475438596,-0.424561404,-0.078947368,0.28245614,0.657305899,0.578947368,0.804738998,-0.19122807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.322289522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366666667,-0.173684211,-0.286967996,-0.328070175,-0.397006381,-0.277192982,-0.09122807,0.435087719,-0.245614035,0.060150376,-0.182851337,0.190918473,0.197110423,-0.045548874,-0.043366036,0.183325907,-0.070247971,-0.039764402,0.166150671,-0.075335397,0.104231166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.332455834,-0.043609023,-0.164086687,-0.003099175,0.173553812,-0.14876041,-0.01754386,0.25880042,0.132299901,-0.182662539,-0.467919314,0.005176008,-0.27972028,NA,0.186790506,NA,0.245740869,NA,-0.15370873,NA,NA,-0.347589183,-0.500188076,0.576568726,0.244844253,-0.326315789,-0.445112782,0.281203008,0.503759398,-0.184962406,0.02406015,0.270880438,0.129323308,-0.206015038,-0.02406015,0.484575005,0.034586466,0.168738529,0.360902256,0.302255639,-0.02406015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.255297464
CPD668,0.394405319,0.398646614,0.273861279,0.273861279,0.357566611,0.433766423,0.082706767,-0.028571429,-0.178947368,-0.058646617,-0.144360902,-0.147368421,0.4,0.350490196,0.417032645,-0.272528131,-0.307017544,0.167617392,0.100103199,0.372093059,0.438103768,-0.458943964,-0.146555521,-0.326315789,-0.41754386,-0.105263158,0.150877193,0.546731075,0.340350877,0.834576649,-0.210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.338102793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207017544,-0.098245614,-0.126371228,-0.161403509,-0.265260388,-0.080701754,-0.026315789,0.249122807,-0.121052632,0.004511278,-0.284091061,0.314757482,0.304437564,0.082816134,0.103252466,0.036250886,-0.095041373,-0.195876501,0.28379773,0.062951496,0.217750258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.285821758,0.111278195,-0.15995872,-0.036157044,0.023760343,-0.198347213,-0.077399381,0.12940021,0.109560855,-0.093911249,-0.239769039,-0.023809639,-0.335664336,NA,0.19504644,NA,0.355188483,NA,0.008936554,NA,NA,-0.137932215,-0.476118875,0.407196178,0.032470385,-0.392982456,-0.452631579,0.330827068,0.42556391,-0.204511278,-0.05112782,0.291196471,0.2,-0.106766917,0.05112782,0.431903809,0.076691729,0.180791281,0.421052632,0.42406015,0.05112782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03824294
CPD669,0.394405319,0.398646614,0.273861279,0.456435465,0.587430861,0.554257097,0.112781955,-0.096240602,-0.270676692,-0.219548872,-0.239097744,-0.25112782,0.7,0.25,0.390693741,-0.318242527,-0.375438596,0.137779741,0.271413829,0.429135627,0.431080061,-0.380216734,-0.007898202,-0.394736842,-0.294736842,-0.00877193,-0.045614035,0.40193071,0.19122807,0.685388394,-0.189473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.322289522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11754386,-0.143859649,-0.130759117,-0.157894737,-0.260839382,0.014035088,0.015789474,0.178947368,-0.136842105,-0.030075188,-0.178719104,0.380804954,0.197110423,0.150104244,0.157976273,-0.095288042,-0.009297526,-0.09131085,0.353973168,0.01754386,0.37874097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.157201967,0.196992481,-0.050567595,0.064049621,-0.037190102,-0.235537316,-0.199174407,-0.066252907,0.119896785,-0.01754386,-0.140481419,-0.090062546,-0.293706294,NA,0.234262126,NA,0.277749134,NA,0.105451338,NA,NA,-0.190346457,-0.443023724,0.251864877,-0.079859595,-0.445614035,-0.484210526,0.410526316,0.344360902,-0.290225564,-0.192481203,0.30699783,0.32481203,0.070676692,0.192481203,0.408577994,-0.042105263,0.330697385,0.484210526,0.448120301,0.192481203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004134372
CPD765,-0.394405319,-0.398646614,-0.469476478,-0.365148372,-0.025540472,-0.048196269,-0.040601504,-0.436090226,-0.637593985,-0.380451128,-0.49924812,-0.615037594,0,0.041666667,-0.285338126,-0.238242334,-0.231578947,-0.152698567,0.110423117,-0.22465996,-0.048287991,-0.223656903,-0.176393172,0.119298246,-0.145614035,-0.029824561,0.212280702,-0.063185614,-0.245614035,0.308907445,-0.10877193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.027108464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01754386,0.166666667,0.216761758,0.326315789,0.17065085,0.252631579,0.09122807,-0.084210526,0.407017544,-0.04962406,-0.424587003,0.1124871,0.42621259,0.226709168,0.202374833,-0.105645438,0.209710856,0.129602497,0.093911249,0.058823529,0.312693498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.658142205,0.183458647,-0.108359133,0.035123986,0.074380205,-0.290289411,-0.364293086,0.093168151,0.371059877,0.145510836,-0.350675422,0.37577821,-0.153846154,NA,-0.190918473,NA,0.097057318,NA,-0.037533527,NA,NA,-0.2179329,-0.102294103,-0.213251447,-0.324703849,-0.222807018,-0.168421053,0.109774436,0.433082707,-0.036090226,0.102255639,0.021068478,0.033082707,-0.213533835,-0.102255639,0.263355981,0.266165414,0.014312643,0.160902256,0.336842105,-0.102255639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014470302
CPD784,0.281718085,0.261182265,-0.091287093,-0.065205066,0.357566611,0.49401176,0.165413534,0.296240602,0.276691729,0.040601504,-0.036090226,0.177443609,0.9,0.338235294,0.497805284,-0.582858551,0.3,0.486178195,-0.265221878,0.240456364,-0.021071123,-0.661129804,-0.539710451,-0.352631579,-0.278947368,-0.345614035,-0.089473684,0.021939449,0.128070175,0.195699887,-0.415789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024096413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157894737,-0.415789474,-0.347520876,-0.428070175,-0.381974959,-0.203508772,-0.192982456,0.292982456,-0.494736842,-0.32481203,-0.116735599,0.104231166,0.104231166,-0.039337664,-0.017552919,0.153289459,-0.03202481,0.122238719,0.036119711,-0.370485036,-0.011351909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.164723592,0.016541353,0.15376677,-0.022727285,0.289256353,-0.284091061,-0.335397317,0.155280252,0.156072539,-0.089783282,-0.162662696,0.001035202,-0.391608392,NA,0.366357069,NA,-0.127000533,NA,-0.058981257,NA,NA,0.066207463,-0.371568285,0.160596768,0.430013205,0.019298246,-0.254135338,0.097744361,0.312781955,-0.169924812,-0.087218045,0.131677991,0.081203008,0.063157895,0.087218045,0.090293479,0.261654135,0.149152807,0.153383459,-0.006015038,0.087218045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.488889476
CPD819,-0.394405319,-0.357407309,-0.195615199,-0.469476478,-0.446958264,-0.301226683,-0.157894737,0,0.055639098,-0.151879699,-0.078195489,-0.042105263,0.2,0.166666667,0.06848115,-0.003516492,0.163157895,0.247476987,0.655314757,0.137779741,0.212467158,-0.150297438,0.098288733,-0.170175439,0.264912281,0.485964912,0.00877193,-0.01316367,0.040350877,-0.053532256,0.29122807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.30873529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145614035,-0.533333333,-0.616059735,-0.494736842,-0.53317338,-0.252631579,-0.275438596,0.319298246,-0.364912281,-0.536842105,0.224173673,-0.318885449,-0.223942208,0.090062546,0.086732071,0.384259387,-0.234504257,0.016200312,-0.316821465,-0.069143447,-0.298245614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.125611141,-0.084210526,-0.005159959,0.534091194,0.070247971,0.004132234,-0.238390093,-0.361285386,0.106460076,0.114551084,-0.396094227,0.008281613,0.132867133,NA,-0.3374613,NA,0.13526073,NA,-0.142984865,NA,NA,-0.286899008,-0.263256882,0.340500252,0.183413796,-0.343859649,-0.198496241,0.264661654,-0.04962406,-0.258646617,-0.233082707,0.151241578,0.263157895,0.114285714,0.233082707,0.118886414,-0.339849624,0.224482507,0.263157895,0.267669173,0.233082707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.419638747
CPD842,-0.288675135,-0.394405319,0.213808994,0.133630621,0.34022555,0.209892539,-0.10562976,0.050450035,0.04414378,0.329501788,0.201800138,0.195493884,-0.3,-0.36571318,-0.156900872,0.443921705,-0.22603063,-0.245277922,0.345554422,0.189657278,0.439687327,0.402950655,0.159111515,0.006379897,0.559608093,0.433832984,-0.14035773,0.100299522,-0.143091972,-0.014589021,0.509480332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05368395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077898084,-0.042658474,-0.037110606,-0.076043367,-0.022434414,-0.06491507,-0.087171665,0.038949042,-0.016692447,-0.236484537,0.044319922,-0.043194303,-0.045354018,0.32658974,0.297654388,-0.195080264,0.318887241,0.333437077,-0.030236012,0.024836724,0.110145472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.063086264,-0.085134433,0.143527953,0.545969949,0.416129143,0.096848471,-0.315761497,-0.010664769,0.282177201,0.273234696,-0.116433385,0.214361864,-0.072511378,NA,-0.030831931,NA,0.068078019,NA,0,NA,NA,-0.147985317,0.271270937,-0.113187348,0.098343105,0.057496205,-0.018918763,-0.134007904,-0.447744057,-0.081981306,-0.16711574,-0.494624721,0.151350104,0.182881375,0.16711574,-0.07652089,-0.140314159,0.007107909,-0.031531272,-0.148196977,0.16711574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247130305
