,Click-ABR,6kHz-ABR,12kHz-ABR,18kHz-ABR,24kHz-ABR,30kHz-ABR,RA-S,PPI1,PPI2,PPI3,PPI4,PPI-G,TFI,RER,Na,K,Cl ,BUN,Cr,TP,Alb,T Bil,Ca,P ,AST,ALT,AP,TC,HDL-C,TG   ,Glu,Tail-p,Tail-l,Tail-t,Tail-m,Coat - color-c,Coat-c-c,Coat-c-h,Coat-cp-b,Coat-cp-h,Coat-cp-a,Coat-hd-b,Coat-hd-h,Coat-hd-a,Coat-ht-b,Coat-ht-h,Coat-ht-a,FL-pos,FL-sh,FL-s,HL-pos,HL-sh,HL-s,Vib-pre,Vib-app,Head-s,Head-mor,Ears,Snout-s,Acti.,Tremor,Loco acti.,Gait,SR,U-bhvior,Tr curl,L-Gsp,FP-s,HP-s,FP-sh,HP-sh,FLD-n,HLD-n,FLD-s,HLD-s,FLD-sh,HLD-sh,FLN-n,HLN-n,FLN-l,HLN-l,FLN-sh,HLN-sh,SC-wb,SC-snt,SC-ear,SC-fp,SC-bp,SC-tail,ST-wb,ST-snt,ST-ear,ST-fp,ST-bp,ST-tail,Tee-pre,UTee-app,Ltee-app,Geni-p,Geni-s,Geni-mor,Mou-mor,Ulip-mor,Llip-mor,Cont. r,Voca.,Aggre.,Head-b,Fat mass,Lean mass,BMD,BMC ,Body-l,BMC/BW,Lean/BW,Fat/BW,Bone A,BW ,HR,CV,RR,PQ,PR,QRS,ST,QTc,HRV,QTc Dis.,Rmssd,Eye,BE,Eye bleed,Eye-mor,EL-clo,NEO,Cornea,C-opac.,C-Vasc.,Iris,Pupil-pos,Pupil-sh,Pupil-dil,PLR,Iris PC,Lens,Lens-Opac.,FBCL,Syn.,Optic Disc,RBV,RBVS,RBVP,POHVS,RC,FHGSMM,FAHGSMM,WBCC,RBCC,Hb,HCT,MCV,MCH,MCHC,PLT Ct,MPLTV,RDW,NEU-DIFF,NCC,L-DIFF,LCC,M-DIFF,MCC,Eosi-DIFF,ECC,Baso-DIFF,Heart Weight,FBG,IRGC,AUC,WART,WAAS,PDT,PRT,PPT,PAS,CDT,CRT,CPT,CAS,LTCE,NOCE,TDT,TNOR,PCT,SSH,ZGB,Maxilla,MDB,Teeth,Scap.,Clav.,NOR-R,NOR-L,SOR,FOR,Pelvis,NOCV,NOTV,NOLV,NOPV,SOV,FOV,POV,Humerus,Radius,Ulna,Femur,Tibia,Fibula,Joints,NOD,Synd.,Brach,DI,TL,BCC
CPD037,0.309958736,0.430638769,0.532687972,1,0.689052226,0.586569103,0.055997489,0.488241914,0.360934072,0.281279419,0.321181894,0.2528342,0.83968254,0.475632046,0.449978906,0.922240312,0.716693897,0.740665969,0.388970547,0.68859549,0.29001978,0.068182259,0.190434162,0.120850851,0.0357808,0.072069537,0.845212276,0.820541639,0.302354844,0.176903665,0.028702954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105732719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766274822,0.816561048,0.557526979,0.81139512,0.861172331,0.698648867,0.766274822,0.246360058,0.754411858,0.903488265,0.931874427,0.487352096,0.744411018,0.093476744,0.094331464,0.420127761,0.264195765,0.049804639,0.476927704,0.875808883,0.456424978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79237606,0.842843153,0.155996548,0.025736859,0.488926702,0.104722004,0.22472458,0.326736804,0.920323254,0.985626092,0.062702561,0.880290909,0.517155182,NA,0.83720195,NA,0.439887801,NA,0.390407873,NA,NA,0.426060729,0.232557645,0.698881793,0.605561572,0.986888269,0.479957246,0.192670706,0.688687248,0.323791043,0.255860496,0.770192565,0.259018337,0.439887801,0.255860496,0.302356678,0.060689726,0.407693946,0.240446766,0.667875127,0.255860496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441792895
CPD047,0.309958736,0.665204587,0.665204587,0.547161612,0.689052226,0.928723265,0.946778134,0.079214046,0.367829058,0.936659068,0.321181894,0.302354844,0.83968254,0.630086198,0.031869758,0.187973783,0.212720426,0.309798816,0.337406723,0.51613209,0.959732249,0.391425002,0.153081266,0.513901757,0.906365597,0.947302546,0.350471582,0.564800209,0.456408626,0.961971391,0.712174427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754408595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413388959,0.162397418,0.428897768,0.352330435,0.366842876,0.451372452,0.060177401,0.674480255,0.080806141,0.556647009,0.983762802,0.094331464,0.987016668,0.544517763,0.644362238,0.841813587,0.128589482,0.327373189,0.115576495,0.901814419,0.274857726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361510275,0.457470587,0.997155104,0.46112867,0.310600527,0.050309774,0.374720358,0.080791321,0.094430181,0.19007991,0.214299398,0.894461042,0.62975814,NA,0.865480897,NA,0.683360791,NA,0.521044989,NA,NA,0.541985293,0.098586925,0.982661041,0.276059196,0.230177316,0.211484164,0.69402819,0.214269363,0.302356678,0.21991348,0.590207393,0.228564675,0.170212011,0.21991348,0.502994234,0.029023601,0.037550402,0.346124959,0.082118768,0.21991348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723908819
CPD079,0.133974596,0.057632914,0.68816358,0.766260066,0.49906138,0.11883226,0.714342079,0.826316171,0.635010803,0.891264115,0.709584427,0.695375784,0.713095238,0.659559391,0.44419212,0.783929595,0.818021377,0.967364381,0.657985138,0.320700253,0.241488562,0.154527635,0.65860686,0.545365228,0.425705285,0.124536379,0.922269487,0.066395885,0.324387987,0.403441701,0.987445112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954703451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174808801,0.845162898,0.762441688,0.686448936,0.732415639,0.370130595,0.523142678,0.21744367,1,0.549373514,0.2185802,0.067389823,0.187602112,0.592170676,0.805011739,0.977269283,0.719782481,0.750058318,0.063317022,0.856385,0.089076103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197924614,0.414207619,0.378709979,0.213268541,0.381005946,0.272395633,0.985776178,0.38483186,0.394053827,0.854147973,0.76063498,0.302606685,0.978311454,NA,0.939680427,NA,0.479957246,NA,0.224048186,NA,NA,0.360457127,0.254163797,0.027832117,0.370860874,0.320666454,0.820326344,0.365418188,0.038909337,0.888222456,0.575230486,0.154057555,0.933947475,0.550650104,0.575230486,0.160842343,0.962638738,0.733462159,0.615534278,0.69422046,0.575230486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407971664
CPD590,0.133974596,0.878086599,0.211743353,0.547161612,0.333601087,0.286072854,0.433273062,0.992391679,0.836246629,0.121794087,0.437084141,0.555118338,0.83968254,0.542192165,0.624364895,0.311181022,0.156738918,0.006046327,0.896294086,0.415848948,0.420366508,0.775411885,0.992466885,0.553900229,0.533776867,0.512157086,0.577963192,0.304930574,0.26397787,0,0.784009056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420366508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64770979,0.255305932,0.451276138,0.090803053,0.322493197,0.967202666,0.305064803,0.470488824,0.074616075,0.441345451,0.056031059,0.245767488,0.039624179,0.121638887,0.099813228,0.738099737,0.294815601,0.404854665,0.232004708,0.492606882,0.314165902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278492642,0.615534278,0.32687115,0.286211308,0.254923107,0.753127909,0.827697371,0.985719652,0.583005945,0.748183696,0.70582659,0.59417347,0.553621558,NA,0.656953556,NA,0.217079119,NA,0.943967991,NA,NA,0.511828473,0.957249953,0.723353628,0.900962588,0.42973811,0.295412658,0.667470561,0.521808776,0.015237196,0.011852556,0.939680427,0.043880863,0.012160682,0.011852556,0.076583314,0.353768247,0.428892068,0.331136048,0.233573767,0.011852556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643882823
CPD668,0.309958736,0.902369684,0.271172217,0.547161612,0.199621673,0.318428338,0.340709889,0.896294086,0.856179824,0.244680981,0.667261987,0.700101121,1,0.662534014,0.543394314,0.483495536,0.131197863,0.043404548,0.639580201,0.969862341,0.385626247,0.781035203,0.887346129,0.89224377,0.374800356,0.635789221,0.473680281,0.419570535,0.598935898,4.21E-06,0.733510917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383843517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698593813,0.323550962,0.508393033,0.060707966,0.483580811,0.849927795,0.437745236,0.462826302,0.051085123,0.485905332,0.093476744,0.080806141,0.070526177,0.157938048,0.170867036,0.753585612,0.539239605,0.775130139,0.070213565,0.51390524,0.152402405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24961998,0.9741299,0.977243593,0.021056353,0.05012527,0.758577977,0.210465528,0.757852591,0.425439955,0.781263486,0.856232458,0.596689626,0.129793416,NA,0.410009824,NA,0.349934237,NA,0.87338067,NA,NA,0.453831235,0.396783644,0.922079601,0.961171003,0.578580322,0.540955382,0.781263486,0.389378587,0.086351438,0.060689726,0.79237606,0.110392067,0.057411615,0.060689726,0.331136048,0.610433244,0.717266855,0.575230486,0.69422046,0.060689726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9587685
CPD669,0.554646423,0.975550872,0.878086599,0.766260066,0.101211562,0.240731006,0.581232598,0.836246629,0.936659068,0.516989003,0.816411747,0.896294086,0.782539683,0.536717769,0.453858334,0.593167865,0.340066597,0.882371888,0.168419054,0.929746685,0.345802491,0.662844064,0.796164252,0.697845369,0.653365089,0.69806256,0.757440114,0.367382,0.886238253,0.001119593,0.743055582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837392122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558764366,0.925479533,0.15180542,0.084041953,0.835044703,0.503200634,0.925479533,0.340522966,0.154950061,0.813800997,0.612279915,0.070213565,0.692386992,0.66518645,0.656285912,0.572340423,0.829160893,0.648927812,0.062002017,0.934456993,0.209163684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683360791,0.517073632,0.483626253,0.015823675,0.031902831,0.94877877,0.052573116,0.711771337,0.273608004,0.699383392,0.684269279,0.324232202,0.182195776,NA,0.512359396,NA,0.704752624,NA,0.641519753,NA,NA,0.736508473,0.018974365,0.253913534,0.117037717,0.354996461,0.540955382,0.600284279,0.214269363,0.31296106,0.24961998,0.205987223,0.630941234,0.211484164,0.24961998,0.323791043,0.575230486,0.693190815,0.555527252,0.91763128,0.24961998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179374752
CPD765,0.846052524,0.303636614,0.096864912,0.766260066,0.689052226,0.976220693,0.158220458,0.261162688,0.029207266,0.035138699,0.302354844,0.04737678,0.302380952,0.77877145,0.822996075,0.55405102,0.238396652,0.624496211,0.468215881,0.242597628,0.215544448,0.681653786,0.649443503,0.463460816,0.327613536,0.798600819,0.116197175,0.957314327,0.242002106,0.110623298,0.034150302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329265867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285284066,0.550450551,0.006575255,0.109466402,0.84808968,0.407250952,0.935178809,0.166465845,0.54666661,0.112120039,0.671164759,0.830613988,0.886737061,0.012608848,0.010835225,0.306569384,0.893173114,0.672888451,0.766978715,0.541140264,0.837041895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064109807,0.79237606,0.530188702,0.906314775,0.259704724,0.465186621,0.954504005,0.62768045,0.766573513,0.461923136,0.873343096,0.181318761,0.764581607,NA,0.453040665,NA,0.899626755,NA,0.460641433,NA,NA,0.788011889,0.692828015,0.891919344,1,0.640554495,0.439887801,0.475415376,0.630941234,0.046545964,0.052253412,0.786814693,0.059581433,0.095443761,0.052253412,0.715532263,0.077924999,0.256510757,0.410009824,0.583674362,0.052253412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58697065
CPD784,0.554646423,0.829785231,0.255617943,0.547161612,0.689052226,0.905035684,0.856179824,0.385399662,0.621381283,0.484202379,0.403441701,0.476174627,0.2,0.909336909,0.31910177,0.216631243,0.827845775,9.46E-05,0.906365597,0.728654151,0.435479944,0.305631586,0.547798045,0.036314159,0.603397299,0.721632963,0.984934384,0.228079739,0.158220458,0.075677894,0.357253448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.879570975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392103653,0.131108325,0.762441688,0.278641213,1,0.954095309,0.027546293,0.501759435,0.105526488,0.430549028,0.110970742,0.717084758,0.083999171,0.230258018,0.352330435,0.238839712,0.558558852,0.800413811,0.766978715,0.318276514,0.895302775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038125652,0.435549509,0.409380383,0.511319032,0.214401047,0.122030763,0.710192647,0.056828287,0.051087052,0.032981415,0.334019207,0.908661847,0.505254856,NA,0.555527252,NA,0.42267407,NA,0.843898535,NA,NA,0.964320812,0.319949276,0.098855189,0.324231197,0.154767766,0.086351438,0.493714443,0.899626755,0.231497922,0.252727717,0.748183696,0.080661594,0.225656214,0.252727717,0.540955382,0.090812586,0.122896123,0.100248454,0.006288652,0.252727717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9587685
CPD819,0.309958736,0.734696285,0.68816358,1,0.689052226,0.928723265,0.354115701,0.982248374,0.811469747,0.796686746,0.871187188,0.91140676,0.497619048,0.61265063,0.280697127,0.442271858,0.314147309,0.259283506,0.738283881,0.952297668,0.919558199,0.296664551,0.520442511,0.202982145,0.287203118,0.144365517,0.649443503,0.820541639,0.806534795,0.961971391,0.767072953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008144481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536717769,0.344844855,0.94796316,0.426557175,0.956850792,0.54666661,0.644759802,0.340522966,0.421684684,0.880918882,0.011842888,0.290188208,0.032484834,0.373191726,0.218759819,0.396281113,0.81013724,0.932907264,0.278641213,0.895302775,0.157527546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962638738,0.550650104,0.353203108,0.09426296,0.418221161,0.013088199,0.960186406,0.006315747,0.006173314,0.997125079,0.605602741,0.776777452,0.820631823,NA,0.605349847,NA,0.13696033,NA,0.371851424,NA,NA,0.173403363,0.790911231,0.402802359,0.922423668,0.960677885,0.327451063,0.770192565,0.979877507,0.646499751,0.58519645,0.641297078,0.636110837,0.720942205,0.58519645,0.507666215,0.405835768,0.857942089,0.69402819,0.710192647,0.58519645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532261297
CPD842,0.845136372,0.043323775,0.222711426,0.091572217,0.409791081,0.79822927,0.559292203,0.747010241,0.352176309,0.114868477,0.152590201,0.195806983,0.963492063,0.77450408,0.091775302,0.554686493,0.554535864,0.758962906,0.927024317,0.075130849,0.321712502,0.749173788,0.650493383,0.823503849,0.768722286,0.439733769,0.011229325,0.518688646,0.030087071,0.732635728,0.053015431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234968663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92856434,0.664859168,0.294465351,0.89306307,0.509656012,0.996750684,0.876906276,0.713238311,0.638350407,0.832980557,0.931733691,0.366159921,0.954484751,0.886445624,0.609203629,0.212699465,0.386198919,0.654944227,0.348428441,0.803618483,0.318611423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.500283929,0.35898896,0.894554474,0.326518194,0.662745018,0.782299888,0.030345547,0.208558137,0.713854303,0.175649178,0.844181929,0.840118079,0.005440787,NA,0.771563864,NA,0.736059346,NA,0.507621938,NA,NA,0.685456578,0.490249795,0.329624265,0.073278658,0.055482728,0.719839143,0.323058727,0.768816278,0.50961947,0.42868395,0.749658651,0.234633032,0.577196606,0.42868395,0.763329043,0.259485631,0.798396232,0.572245559,0.871918447,0.42868395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385019503
