Gene ID,Genotype,Gender,Parameter,Fatmass,Leanmass,BoneMineralDensity,BoneMineralContent,Bodylength,BMC_Body weight,Lean_Body weight,Fat_Body weight,Bone_Area,Bodyweight
(null),(null),F,B6NC_165108_319741,5.65,19.35,0.0512,0.4534,9.2,0.0173053,0.73855,0.215649,8.85547,26.19998646
(null),(null),F,B6NC_209085_417795,3.768,18.662,0.0505,0.4643,9.3,0.0208206,0.836861,0.168969,9.19406,22.29999964
(null),(null),F,B6NC_28747_055857,3.744,17.526,0.0495,0.4248,9.1,0.0187137,0.77207,0.164934,8.58182,22.70001425
(null),(null),F,B6NC_42023_144713,4.185,16.845,0.0499,0.4337,9,0.0191903,0.745354,0.185177,8.69138,22.59999946
(null),(null),F,B6NC_98735_198416,3.687,17.623,0.0483,0.4144,8.9,0.0193645,0.823505,0.17229,8.57971,21.3999915
(null),(null),F,B6NC_172886_349029,5.363,20.927,0.0504,0.4646,9.3,0.0178692,0.804885,0.206269,9.21825,25.99998758
(null),(null),F,B6NC_26168_038538,4.056,16.744,0.0504,0.4295,9,0.0192601,0.750852,0.181883,8.52183,22.30000053
(null),(null),F,B6NC_223417_496096,8.258,19.362,0.0505,0.4125,9.6,0.0147321,0.6915,0.294929,8.16832,28
(null),(null),F,B6NC_130659_237716,3.706,18.224,0.0507,0.4546,9.2,0.0196797,0.788918,0.160433,8.96647,23.09999265
(null),(null),F,B6NC_151396_296904,6.739,19.381,0.051,0.4389,9.3,0.0160182,0.707336,0.245949,8.60588,27.39999095
(null),(null),F,B6NC_31169_069499,3.357,17.363,0.0511,0.433,9,0.0201395,0.807581,0.15614,8.47358,21.50001053
(null),(null),F,B6NC_37043_115864,4.192,16.458,0.0489,0.3764,8.9,0.0173456,0.758433,0.19318,7.69734,21.70000514
(null),(null),F,B6NC_47919_170956,3.924,18.246,0.0495,0.4341,9,0.0183941,0.773136,0.166271,8.7697,23.59998758
(null),(null),F,B6NC_26171_038541,3.594,16.826,0.0516,0.4499,9.2,0.02045,0.764818,0.163364,8.71899,22.00000523
(null),(null),F,B6NC_214377_448374,5.311,19.509,0.0507,0.4483,9.5,0.0175804,0.765059,0.208274,8.84221,25.49999412
(null),(null),F,B6NC_118083_229695,3.778,17.812,0.0514,0.438,9,0.0187983,0.764464,0.162146,8.5214,23.29998535
(null),(null),F,B6NC_100766_209241,3.357,17.363,0.0505,0.4616,9,0.0214698,0.807581,0.15614,9.14059,21.50001053
